easting,northing,density
444100.0,481900.0,0.60205996
443700.0,480700.0,0.60205996
443300.0,480300.0,0.69897
442100.0,479100.0,0.69897
441700.0,478300.0,0.60205996
441700.0,477900.0,0.30102998
441300.0,477500.0,0.30102998
441300.0,477100.0,0.47712126
440900.0,476700.0,0.60205996
440500.0,475900.0,0.60205996
439300.0,474300.0,0.30102998
438900.0,473900.0,0.7781513
438100.0,473500.0,0.60205996
438500.0,473500.0,0.47712126
437300.0,473100.0,0.69897
437300.0,472300.0,0.60205996
437700.0,471500.0,0.69897
438100.0,470700.0,0.60205996
438500.0,469900.0,0.69897
438500.0,469500.0,0.60205996
438500.0,469100.0,0.845098
438500.0,468700.0,0.69897
438500.0,467900.0,0.47712126
438500.0,467500.0,0.69897
438900.0,466700.0,0.69897
439300.0,465900.0,0.69897
439700.0,465100.0,0.90309
439700.0,464700.0,0.47712126
440100.0,463500.0,0.47712126
440100.0,463100.0,0.47712126
440100.0,462700.0,0.7781513
440100.0,462300.0,0.69897
440500.0,460700.0,0.30102998
440500.0,460300.0,0.69897
440500.0,459900.0,0.7781513
440500.0,459500.0,0.69897
440500.0,459100.0,0.60205996
440900.0,457500.0,0.69897
442100.0,457100.0,0.47712126
442500.0,457100.0,0.30102998
442900.0,457100.0,0.47712126
443700.0,456700.0,0.47712126
444100.0,456700.0,0.30102998
444500.0,456300.0,0.47712126
444900.0,456300.0,0.845098
446900.0,456300.0,0.60205996
448900.0,455900.0,0.7781513
449700.0,455500.0,0.60205996
450500.0,455100.0,0.69897
451300.0,454700.0,0.30102998
452100.0,454300.0,0.47712126
452500.0,454300.0,0.47712126
453300.0,453900.0,0.47712126
454100.0,453500.0,0.47712126
454500.0,453500.0,0.60205996
454900.0,453500.0,0.60205996
455300.0,453500.0,0.7781513
455700.0,453500.0,0.60205996
456900.0,453100.0,0.60205996
457300.0,452700.0,0.7781513
457700.0,452300.0,0.47712126
458100.0,452300.0,0.69897
459700.0,451900.0,0.30102998
459700.0,451500.0,2.5490034
464500.0,451500.0,0.60205996
465300.0,451500.0,0.7781513
459300.0,451100.0,1.3222194
460100.0,451100.0,0.90309
465700.0,451100.0,0.60205996
460900.0,450700.0,0.69897
460900.0,450300.0,0.69897
466100.0,450300.0,0.30102998
460900.0,449900.0,0.9542425
466500.0,449900.0,0.47712126
460900.0,449500.0,0.60205996
466900.0,449500.0,0.69897
467300.0,449100.0,0.60205996
468100.0,448700.0,0.30102998
461300.0,448300.0,0.60205996
468500.0,448300.0,0.60205996
469700.0,447900.0,0.60205996
461700.0,447500.0,0.69897
470500.0,447500.0,0.845098
462100.0,447100.0,0.7781513
470900.0,447100.0,0.30102998
462500.0,446700.0,0.9542425
462500.0,446300.0,0.47712126
462500.0,445900.0,0.60205996
470500.0,445900.0,0.7781513
471300.0,445500.0,0.60205996
471700.0,445100.0,0.60205996
472100.0,445100.0,0.47712126
472900.0,444700.0,0.69897
462900.0,444300.0,0.47712126
472900.0,444300.0,0.60205996
462900.0,443900.0,0.30102998
472900.0,443900.0,0.30102998
472900.0,443500.0,0.60205996
462900.0,443100.0,0.69897
472900.0,443100.0,0.47712126
462900.0,442700.0,0.47712126
472900.0,442700.0,0.47712126
472900.0,442300.0,0.60205996
472500.0,441900.0,0.30102998
462500.0,441500.0,0.60205996
462500.0,441100.0,0.60205996
471700.0,441100.0,0.69897
462500.0,440700.0,0.30102998
471300.0,440700.0,0.60205996
471300.0,440300.0,0.60205996
471700.0,439900.0,0.30102998
462500.0,439500.0,0.60205996
472100.0,439500.0,0.30102998
471700.0,438300.0,0.47712126
471700.0,437900.0,0.7781513
462500.0,437500.0,0.60205996
472100.0,437100.0,0.60205996
462900.0,436700.0,0.30102998
462900.0,436300.0,0.47712126
472500.0,436300.0,0.845098
463300.0,435500.0,0.47712126
463700.0,434300.0,0.30102998
473300.0,434300.0,0.47712126
473300.0,433900.0,0.7781513
473300.0,433500.0,0.30102998
463300.0,433100.0,0.90309
474100.0,432700.0,0.69897
463700.0,432300.0,0.60205996
474500.0,432300.0,0.47712126
463700.0,431900.0,0.47712126
474900.0,431900.0,0.47712126
461700.0,431100.0,0.30102998
462900.0,431100.0,0.60205996
475300.0,430700.0,0.47712126
461700.0,430300.0,0.69897
475300.0,430300.0,0.60205996
462100.0,429500.0,0.845098
462500.0,428700.0,1.0
475700.0,428700.0,1.0
462900.0,427900.0,0.90309
474500.0,427500.0,0.7781513
463300.0,427100.0,0.9542425
474100.0,427100.0,0.30102998
463700.0,426700.0,0.60205996
473700.0,426700.0,0.60205996
463700.0,426300.0,0.69897
464100.0,426300.0,0.30102998
473300.0,426300.0,0.845098
501700.0,426300.0,0.69897
502100.0,426300.0,1.30103
464500.0,425900.0,0.9542425
473300.0,425900.0,0.47712126
502100.0,425900.0,1.0791812
464900.0,425500.0,1.1139433
473300.0,425500.0,0.30102998
464900.0,425100.0,1.3424227
473300.0,425100.0,0.845098
464900.0,424700.0,1.1139433
502500.0,424700.0,0.60205996
464900.0,424300.0,0.47712126
502500.0,424300.0,0.69897
469300.0,423900.0,0.90309
469700.0,423900.0,1.0
470500.0,423900.0,0.90309
470900.0,423900.0,0.845098
471300.0,423900.0,0.90309
471700.0,423900.0,2.3424227
472100.0,423900.0,1.50515
472900.0,423900.0,1.1139433
473300.0,423900.0,1.4471581
473700.0,423900.0,0.47712126
502500.0,423900.0,0.69897
468900.0,423500.0,0.845098
473300.0,423500.0,1.2304488
474500.0,423500.0,0.7781513
502500.0,423500.0,0.60205996
464500.0,423100.0,0.7781513
468500.0,423100.0,0.69897
473700.0,423100.0,1.60206
474100.0,423100.0,1.4623979
474500.0,423100.0,1.6127838
478500.0,423100.0,0.60205996
479700.0,423100.0,1.0413927
480100.0,423100.0,0.30102998
482100.0,423100.0,0.47712126
482500.0,423100.0,0.90309
482900.0,423100.0,0.90309
483300.0,423100.0,0.9542425
483700.0,423100.0,0.845098
484100.0,423100.0,1.2041199
502500.0,423100.0,0.60205996
468100.0,422700.0,0.90309
474500.0,422700.0,1.5910646
478100.0,422700.0,0.90309
480500.0,422700.0,1.1760913
480900.0,422700.0,0.9542425
481300.0,422700.0,0.9542425
502900.0,422700.0,0.60205996
467700.0,422300.0,0.7781513
474900.0,422300.0,0.60205996
477300.0,422300.0,0.30102998
484500.0,422300.0,1.0
502900.0,422300.0,0.9542425
464900.0,421900.0,1.1760913
467300.0,421900.0,1.1760913
468100.0,421900.0,0.60205996
468500.0,421900.0,0.69897
475300.0,421900.0,1.6334685
476500.0,421900.0,1.4313638
477700.0,421900.0,1.2552725
484500.0,421900.0,0.90309
502500.0,421900.0,0.60205996
502900.0,421900.0,0.60205996
503300.0,421900.0,0.845098
466100.0,421500.0,0.845098
466500.0,421500.0,0.69897
466900.0,421500.0,1.2041199
469300.0,421500.0,0.47712126
476100.0,421500.0,1.30103
478100.0,421500.0,0.845098
478500.0,421500.0,1.4149733
484500.0,421500.0,1.146128
501700.0,421500.0,0.69897
503300.0,421500.0,0.845098
466900.0,421100.0,1.2041199
470100.0,421100.0,1.0
479300.0,421100.0,1.3424227
479700.0,421100.0,1.0413927
484500.0,421100.0,1.39794
494500.0,421100.0,1.0413927
496500.0,421100.0,0.90309
496900.0,421100.0,0.9542425
497300.0,421100.0,0.845098
497700.0,421100.0,0.90309
498100.0,421100.0,0.90309
498500.0,421100.0,0.90309
498900.0,421100.0,1.3802112
499300.0,421100.0,0.845098
499700.0,421100.0,0.60205996
500100.0,421100.0,0.47712126
500500.0,421100.0,0.69897
466900.0,420700.0,1.3617278
469300.0,420700.0,0.47712126
480100.0,420700.0,1.2552725
480500.0,420700.0,1.0791812
484500.0,420700.0,1.0791812
494100.0,420700.0,0.60205996
504100.0,420700.0,0.69897
466900.0,420300.0,1.4471581
467300.0,420300.0,0.69897
469300.0,420300.0,0.47712126
480900.0,420300.0,1.0791812
481300.0,420300.0,1.3802112
484500.0,420300.0,1.1760913
492100.0,420300.0,0.60205996
493700.0,420300.0,0.60205996
494100.0,420300.0,1.0
502900.0,420300.0,0.845098
504900.0,420300.0,0.60205996
505300.0,420300.0,0.47712126
468100.0,419900.0,0.47712126
469300.0,419900.0,0.47712126
481300.0,419900.0,1.3222194
484500.0,419900.0,1.0
494100.0,419900.0,0.7781513
498500.0,419900.0,0.47712126
505700.0,419900.0,1.0791812
466900.0,419500.0,0.47712126
481300.0,419500.0,1.4149733
485300.0,419500.0,0.60205996
493300.0,419500.0,0.845098
493700.0,419500.0,1.2787535
498500.0,419500.0,0.30102998
502500.0,419500.0,0.7781513
506100.0,419500.0,0.60205996
466900.0,419100.0,1.1139433
481300.0,419100.0,1.4913616
484900.0,419100.0,1.3802112
491700.0,419100.0,0.60205996
498500.0,419100.0,0.60205996
502500.0,419100.0,0.845098
506500.0,419100.0,0.47712126
466900.0,418700.0,1.0791812
481300.0,418700.0,0.845098
485700.0,418700.0,0.30102998
490100.0,418700.0,0.69897
490500.0,418700.0,0.7781513
490900.0,418700.0,0.90309
491300.0,418700.0,1.146128
491700.0,418700.0,1.0413927
498500.0,418700.0,0.30102998
506900.0,418700.0,0.30102998
466900.0,418300.0,1.0
468900.0,418300.0,0.845098
480900.0,418300.0,1.3424227
484100.0,418300.0,0.69897
485700.0,418300.0,0.30102998
489700.0,418300.0,0.69897
493700.0,418300.0,0.60205996
502500.0,418300.0,0.7781513
507300.0,418300.0,0.47712126
466900.0,417900.0,1.1139433
468900.0,417900.0,0.7781513
480900.0,417900.0,1.4313638
483700.0,417900.0,0.47712126
485300.0,417900.0,0.9542425
487300.0,417900.0,0.7781513
487700.0,417900.0,0.47712126
488100.0,417900.0,0.47712126
488500.0,417900.0,0.47712126
502500.0,417900.0,0.69897
466900.0,417500.0,1.146128
480900.0,417500.0,1.4149733
482900.0,417500.0,0.47712126
485300.0,417500.0,0.7781513
487300.0,417500.0,0.30102998
494100.0,417500.0,0.47712126
498900.0,417500.0,0.69897
502500.0,417500.0,0.60205996
507700.0,417500.0,0.47712126
466900.0,417100.0,0.69897
480900.0,417100.0,1.3617278
482900.0,417100.0,0.60205996
487700.0,417100.0,0.845098
498900.0,417100.0,0.7781513
508100.0,417100.0,0.60205996
469300.0,416700.0,0.30102998
482900.0,416700.0,1.4913616
483300.0,416700.0,0.47712126
484500.0,416700.0,1.39794
484900.0,416700.0,1.3802112
488100.0,416700.0,0.60205996
494500.0,416700.0,0.69897
502900.0,416700.0,0.845098
508100.0,416700.0,0.69897
467300.0,416300.0,1.146128
469300.0,416300.0,0.9542425
480500.0,416300.0,1.6532125
480900.0,416300.0,0.90309
481300.0,416300.0,0.60205996
499300.0,416300.0,0.60205996
502900.0,416300.0,0.90309
508100.0,416300.0,0.7781513
467300.0,415900.0,1.0791812
469300.0,415900.0,1.0413927
480100.0,415900.0,1.0
481700.0,415900.0,0.90309
482100.0,415900.0,1.1760913
482500.0,415900.0,1.1139433
488500.0,415900.0,0.47712126
499700.0,415900.0,0.69897
508100.0,415900.0,0.69897
479700.0,415500.0,0.7781513
488500.0,415500.0,0.60205996
494900.0,415500.0,0.47712126
479300.0,415100.0,0.60205996
494900.0,415100.0,0.47712126
500500.0,415100.0,0.60205996
469300.0,414700.0,0.69897
479300.0,414700.0,0.47712126
485300.0,414700.0,1.50515
488900.0,414700.0,0.9542425
494900.0,414700.0,0.60205996
500500.0,414700.0,0.60205996
508500.0,414700.0,0.30102998
467700.0,414300.0,1.0791812
469300.0,414300.0,0.9542425
478500.0,414300.0,0.30102998
478900.0,414300.0,0.7781513
485700.0,414300.0,1.690196
488900.0,414300.0,0.7781513
508500.0,414300.0,0.60205996
467700.0,413900.0,0.90309
485300.0,413900.0,1.4313638
488900.0,413900.0,0.30102998
500900.0,413900.0,0.30102998
503300.0,413900.0,0.90309
468100.0,413500.0,0.30102998
468500.0,413500.0,1.3222194
469700.0,413500.0,1.0791812
477300.0,413500.0,0.60205996
477700.0,413500.0,0.60205996
484500.0,413500.0,1.2552725
484900.0,413500.0,1.3617278
501700.0,413500.0,0.69897
503300.0,413500.0,0.7781513
468900.0,413100.0,1.2304488
470100.0,413100.0,0.9542425
477300.0,413100.0,1.1760913
484100.0,413100.0,1.4623979
486100.0,413100.0,0.7781513
488100.0,413100.0,1.0413927
489300.0,413100.0,0.7781513
495300.0,413100.0,0.60205996
501700.0,413100.0,0.60205996
508900.0,413100.0,0.60205996
468500.0,412700.0,0.30102998
477300.0,412700.0,1.0
485300.0,412700.0,0.69897
486900.0,412700.0,0.7781513
495300.0,412700.0,0.7781513
502900.0,412700.0,0.60205996
509300.0,412700.0,0.47712126
468500.0,412300.0,1.1139433
470900.0,412300.0,0.60205996
471700.0,412300.0,0.9542425
477700.0,412300.0,0.47712126
483700.0,412300.0,1.4913616
484500.0,412300.0,0.47712126
484900.0,412300.0,0.47712126
495300.0,412300.0,0.47712126
502100.0,412300.0,0.30102998
502900.0,412300.0,0.60205996
468500.0,411900.0,1.2041199
478100.0,411900.0,0.30102998
495300.0,411900.0,0.60205996
502500.0,411900.0,0.60205996
471700.0,411500.0,0.9542425
502500.0,411500.0,0.47712126
510100.0,411500.0,0.845098
468900.0,411100.0,0.69897
469300.0,411100.0,0.47712126
470500.0,411100.0,0.60205996
471700.0,411100.0,1.0
483700.0,411100.0,1.2787535
484500.0,411100.0,0.47712126
484900.0,411100.0,0.60205996
485300.0,411100.0,0.60205996
485700.0,411100.0,0.60205996
486100.0,411100.0,0.69897
486500.0,411100.0,2.2764618
486900.0,411100.0,0.47712126
487300.0,411100.0,0.9542425
502100.0,411100.0,1.0
510100.0,411100.0,0.7781513
471700.0,410700.0,1.2304488
477300.0,410700.0,0.69897
477700.0,410700.0,0.47712126
478100.0,410700.0,0.60205996
483700.0,410700.0,1.8692317
484100.0,410700.0,1.7923917
487300.0,410700.0,0.30102998
502100.0,410700.0,0.9542425
510100.0,410700.0,0.60205996
471700.0,410300.0,0.845098
472500.0,410300.0,0.30102998
472900.0,410300.0,0.47712126
476100.0,410300.0,0.60205996
476500.0,410300.0,0.30102998
483700.0,410300.0,0.69897
487300.0,410300.0,0.47712126
510100.0,410300.0,0.69897
468500.0,409900.0,1.0
473700.0,409900.0,0.47712126
474100.0,409900.0,0.60205996
474500.0,409900.0,0.60205996
474900.0,409900.0,0.60205996
475300.0,409900.0,0.60205996
478100.0,409900.0,1.0791812
483300.0,409900.0,0.47712126
484100.0,409900.0,1.39794
487300.0,409900.0,0.7781513
501700.0,409900.0,0.845098
466500.0,409500.0,0.47712126
466900.0,409500.0,0.845098
468100.0,409500.0,0.60205996
470100.0,409500.0,0.845098
482500.0,409500.0,0.47712126
482900.0,409500.0,0.60205996
483300.0,409500.0,0.69897
483700.0,409500.0,1.7160033
487300.0,409500.0,0.47712126
501700.0,409500.0,0.845098
466100.0,409100.0,0.69897
471300.0,409100.0,0.90309
483300.0,409100.0,1.5440681
487300.0,409100.0,0.47712126
465700.0,408700.0,0.69897
467700.0,408700.0,1.0
472500.0,408700.0,1.1760913
482900.0,408700.0,0.60205996
487300.0,408700.0,0.47712126
495700.0,408700.0,0.845098
496100.0,408700.0,0.9542425
465300.0,408300.0,0.7781513
467700.0,408300.0,0.845098
473300.0,408300.0,0.47712126
473700.0,408300.0,1.1760913
474100.0,408300.0,0.60205996
482900.0,408300.0,0.7781513
487300.0,408300.0,0.7781513
501300.0,408300.0,1.1760913
510500.0,408300.0,0.90309
464900.0,407900.0,0.90309
467700.0,407900.0,0.47712126
482900.0,407900.0,0.47712126
487300.0,407900.0,0.69897
500900.0,407900.0,1.0413927
510500.0,407900.0,0.60205996
464100.0,407500.0,0.30102998
467700.0,407500.0,1.0791812
478500.0,407500.0,1.0791812
483300.0,407500.0,1.3222194
499700.0,407500.0,0.60205996
500500.0,407500.0,0.90309
502900.0,407500.0,0.47712126
510500.0,407500.0,0.69897
462900.0,407100.0,0.60205996
463300.0,407100.0,0.47712126
467700.0,407100.0,0.30102998
474100.0,407100.0,1.2787535
478500.0,407100.0,1.1139433
483300.0,407100.0,1.0791812
499700.0,407100.0,0.69897
500500.0,407100.0,0.845098
500900.0,407100.0,0.47712126
501300.0,407100.0,0.30102998
502100.0,407100.0,0.60205996
503700.0,407100.0,0.60205996
510500.0,407100.0,0.30102998
474100.0,406700.0,1.2041199
478500.0,406700.0,0.9542425
483700.0,406700.0,1.4623979
487700.0,406700.0,0.47712126
498500.0,406700.0,0.69897
503700.0,406700.0,0.47712126
461300.0,406300.0,0.60205996
474100.0,406300.0,0.9542425
478500.0,406300.0,1.0413927
483700.0,406300.0,1.4471581
487700.0,406300.0,0.90309
496500.0,406300.0,0.69897
498100.0,406300.0,1.4471581
503700.0,406300.0,0.60205996
510900.0,406300.0,0.60205996
460900.0,405900.0,1.0
478500.0,405900.0,0.47712126
483700.0,405900.0,1.4313638
496500.0,405900.0,0.69897
498100.0,405900.0,0.69897
503700.0,405900.0,0.47712126
511300.0,405900.0,0.30102998
460500.0,405500.0,0.69897
483300.0,405500.0,0.30102998
483700.0,405500.0,1.2787535
484100.0,405500.0,0.30102998
484500.0,405500.0,0.9542425
