easting,northing,density
426900.0,512700.0,1.0791812
426500.0,512300.0,0.60205996
427700.0,512300.0,0.69897
426100.0,511900.0,0.69897
427700.0,511900.0,0.69897
427700.0,511500.0,0.60205996
425700.0,511100.0,0.47712126
425300.0,510700.0,0.7781513
428100.0,510700.0,0.7781513
424900.0,510300.0,0.60205996
428900.0,510300.0,0.69897
424900.0,509900.0,0.7781513
425300.0,509900.0,0.845098
426100.0,509900.0,0.60205996
428900.0,509900.0,0.69897
424100.0,509500.0,1.146128
428500.0,509500.0,1.0
428900.0,509500.0,0.9542425
423700.0,509100.0,0.60205996
428900.0,509100.0,1.0413927
423300.0,508700.0,1.0413927
429300.0,508700.0,0.60205996
429300.0,508300.0,0.30102998
429700.0,507900.0,1.0
430100.0,507500.0,0.90309
430900.0,507100.0,1.0
431300.0,506700.0,0.845098
431700.0,506300.0,1.0
432500.0,505900.0,1.0413927
432900.0,505900.0,1.0791812
433300.0,505900.0,1.0
433700.0,505900.0,1.0
434100.0,505500.0,0.47712126
434100.0,505100.0,0.60205996
434500.0,504700.0,1.0791812
434900.0,504300.0,1.2552725
434900.0,503900.0,0.9542425
435300.0,503500.0,0.30102998
435300.0,503100.0,0.845098
435300.0,502700.0,0.9542425
435300.0,502300.0,0.69897
435700.0,500700.0,0.9542425
435700.0,500300.0,0.9542425
436100.0,499500.0,1.0791812
436100.0,499100.0,0.9542425
436100.0,498700.0,1.0791812
436100.0,498300.0,1.0413927
436100.0,497900.0,0.69897
436100.0,495100.0,0.69897
436500.0,494700.0,1.2041199
436900.0,493900.0,0.60205996
436900.0,493500.0,1.0413927
436500.0,493100.0,0.47712126
436900.0,493100.0,0.30102998
436100.0,492700.0,0.60205996
437300.0,492700.0,0.47712126
436100.0,492300.0,0.69897
437700.0,492300.0,0.60205996
436100.0,491900.0,0.47712126
438500.0,491500.0,0.47712126
436100.0,490700.0,0.69897
438900.0,490700.0,0.69897
436100.0,490300.0,0.60205996
439300.0,489900.0,0.69897
436500.0,489500.0,0.69897
439700.0,489500.0,1.2787535
436900.0,488700.0,0.47712126
439700.0,488700.0,0.30102998
440100.0,488300.0,0.69897
437300.0,487900.0,0.47712126
440100.0,487900.0,0.47712126
440500.0,487900.0,0.30102998
437300.0,487500.0,0.30102998
437700.0,487100.0,0.60205996
440900.0,486700.0,0.69897
441300.0,486300.0,0.7781513
438100.0,485900.0,0.60205996
441700.0,485500.0,0.60205996
442100.0,485100.0,0.60205996
438100.0,484700.0,0.69897
442100.0,484700.0,0.47712126
438100.0,484300.0,0.90309
442900.0,484300.0,0.30102998
438100.0,483900.0,0.69897
438100.0,483500.0,0.60205996
443300.0,483500.0,0.47712126
443700.0,483100.0,0.47712126
438100.0,482700.0,0.60205996
438100.0,482300.0,0.60205996
444100.0,482300.0,0.60205996
438100.0,481900.0,0.47712126
438100.0,481500.0,0.60205996
438500.0,479100.0,0.30102998
438900.0,478300.0,0.60205996
439700.0,477100.0,0.60205996
440100.0,476300.0,0.7781513
440100.0,475900.0,0.7781513
440500.0,475900.0,0.69897
438900.0,473900.0,0.60205996
437700.0,473500.0,0.845098
438100.0,473500.0,0.47712126
438500.0,473500.0,0.30102998
437300.0,473100.0,0.845098
437300.0,472300.0,0.69897
437700.0,471500.0,0.7781513
438100.0,470700.0,0.69897
438500.0,469900.0,0.60205996
438500.0,469500.0,0.60205996
438500.0,469100.0,0.7781513
438500.0,468700.0,0.69897
438500.0,467900.0,0.30102998
438500.0,467500.0,0.7781513
461300.0,467500.0,0.9542425
462100.0,467500.0,0.69897
462500.0,467500.0,0.90309
460900.0,467100.0,0.60205996
463700.0,467100.0,0.90309
438900.0,466700.0,0.69897
464100.0,466700.0,0.60205996
464500.0,466700.0,1.0
464900.0,466700.0,0.47712126
464900.0,466300.0,0.60205996
439300.0,465900.0,0.69897
460500.0,465900.0,0.69897
460500.0,465500.0,0.845098
439700.0,465100.0,0.69897
460500.0,465100.0,0.47712126
464900.0,465100.0,0.60205996
439700.0,464700.0,0.30102998
459700.0,464700.0,0.47712126
465300.0,464700.0,0.7781513
459300.0,464300.0,0.90309
466100.0,464300.0,0.30102998
466500.0,464300.0,0.30102998
459300.0,463900.0,0.69897
466900.0,463900.0,0.60205996
467300.0,463500.0,0.69897
440100.0,463100.0,0.69897
459300.0,463100.0,0.60205996
440100.0,462700.0,0.60205996
458900.0,462700.0,0.47712126
467700.0,462700.0,0.69897
440100.0,462300.0,0.60205996
468100.0,462300.0,0.30102998
458900.0,461900.0,0.60205996
458900.0,461500.0,0.60205996
458900.0,461100.0,0.69897
468500.0,461100.0,0.60205996
468900.0,461100.0,1.0
469300.0,460700.0,0.90309
440500.0,460300.0,0.60205996
469300.0,460300.0,0.7781513
440500.0,459900.0,0.69897
459300.0,459900.0,0.60205996
440500.0,459500.0,0.845098
459300.0,459500.0,0.47712126
469700.0,459500.0,0.60205996
440500.0,459100.0,0.69897
459300.0,459100.0,0.7781513
459300.0,458300.0,0.60205996
470100.0,458300.0,0.845098
459300.0,457900.0,0.60205996
470100.0,457900.0,0.47712126
440900.0,457500.0,0.845098
459300.0,457500.0,0.47712126
470500.0,457500.0,1.0
470900.0,457100.0,0.60205996
441300.0,456700.0,0.7781513
459700.0,456300.0,0.60205996
470900.0,456300.0,1.0
441700.0,455900.0,0.69897
459700.0,455900.0,0.845098
471300.0,455900.0,0.60205996
471300.0,455500.0,1.0413927
471700.0,455500.0,0.47712126
460100.0,455100.0,0.69897
460100.0,454700.0,0.60205996
472500.0,454700.0,0.30102998
473300.0,453900.0,0.69897
441700.0,453500.0,0.47712126
473700.0,453500.0,0.69897
441300.0,453100.0,0.60205996
474100.0,453100.0,0.30102998
440900.0,452700.0,0.47712126
461300.0,452700.0,0.69897
461700.0,452700.0,0.69897
474100.0,452700.0,0.30102998
460500.0,452300.0,1.0
473700.0,452300.0,0.60205996
440500.0,451500.0,0.60205996
459700.0,451500.0,1.0791812
464500.0,451500.0,0.60205996
464900.0,451500.0,0.7781513
465300.0,451500.0,0.7781513
473300.0,451500.0,0.69897
440500.0,451100.0,0.69897
460100.0,451100.0,0.90309
460900.0,451100.0,0.7781513
465700.0,451100.0,0.69897
472900.0,451100.0,0.69897
460900.0,450700.0,0.7781513
472500.0,450700.0,1.0791812
460900.0,450300.0,0.7781513
466100.0,450300.0,0.30102998
460900.0,449900.0,0.7781513
466500.0,449900.0,0.60205996
440900.0,449500.0,0.30102998
460900.0,449500.0,0.7781513
466900.0,449500.0,0.845098
467300.0,449100.0,0.69897
472100.0,449100.0,0.60205996
441300.0,448700.0,0.47712126
472100.0,448700.0,0.69897
441300.0,448300.0,0.7781513
461300.0,448300.0,0.7781513
468500.0,448300.0,0.69897
440900.0,447900.0,0.845098
469700.0,447900.0,0.7781513
440500.0,447500.0,0.69897
461700.0,447500.0,0.47712126
470500.0,447500.0,0.69897
471700.0,447500.0,0.30102998
440500.0,447100.0,0.60205996
462100.0,447100.0,0.69897
470900.0,447100.0,0.47712126
462500.0,446700.0,0.60205996
440500.0,446300.0,0.69897
462500.0,446300.0,0.47712126
442100.0,445900.0,0.69897
442500.0,445900.0,1.0413927
462500.0,445900.0,0.60205996
470500.0,445900.0,1.0
443300.0,445500.0,0.69897
471300.0,445500.0,0.9542425
443700.0,445100.0,0.47712126
444100.0,445100.0,0.7781513
471700.0,445100.0,1.2304488
472100.0,445100.0,1.0413927
444500.0,444700.0,0.845098
444900.0,444700.0,0.845098
445300.0,444700.0,0.60205996
445700.0,444700.0,0.845098
472900.0,444700.0,0.90309
446500.0,444300.0,0.30102998
446900.0,444300.0,0.47712126
462900.0,444300.0,0.69897
472900.0,444300.0,0.9542425
447300.0,443900.0,0.69897
447700.0,443900.0,0.9542425
462900.0,443900.0,0.30102998
472900.0,443900.0,0.9542425
448100.0,443500.0,0.90309
448500.0,443500.0,0.845098
472900.0,443500.0,0.9542425
448500.0,443100.0,0.30102998
462900.0,443100.0,0.69897
472900.0,443100.0,0.9542425
462900.0,442700.0,0.60205996
472900.0,442700.0,0.9542425
448500.0,442300.0,0.7781513
472900.0,442300.0,1.0
448500.0,441900.0,0.47712126
472500.0,441900.0,0.60205996
462500.0,441500.0,0.60205996
462500.0,441100.0,0.47712126
471700.0,441100.0,0.90309
471300.0,440700.0,1.0
448900.0,440300.0,0.9542425
