highway,longitude,latitude
traffic_signals,-0.1554618,51.5224429
crossing,-0.1470438,51.5356116
traffic_signals,-0.1526868,51.5375104
traffic_signals,-0.1636822,51.5349387
traffic_signals,-0.1635849,51.5287068
crossing,-0.1763089,51.5363944
crossing,-0.1751371,51.5434816
crossing,-0.1558806,51.5456902
traffic_signals,-0.1451285,51.5237608
traffic_signals,-0.1477019,51.5205729
traffic_signals,-0.1481892,51.5216539
traffic_signals,-0.1492251,51.5203158
traffic_signals,-0.1613315,51.515266
traffic_signals,-0.1617749,51.5163695
crossing,-0.1665523,51.5125733
traffic_signals,-0.1759837,51.5115407
traffic_signals,-0.1869255,51.5102793
crossing,-0.1898927,51.5100761
traffic_signals,-0.1909015,51.5019779
traffic_signals,-0.1303291,51.5203633
traffic_signals,-0.1113596,51.5181712
traffic_signals,-0.1019383,51.5162346
crossing,-0.0987878,51.5153556
crossing,-0.0968823,51.5147196
traffic_signals,-0.0923314,51.5138167
crossing,-0.0751915,51.5140628
crossing,-0.0700803,51.5151214
crossing,-0.1177675,51.5006999
traffic_signals,-0.0500298,51.5210535
crossing,-0.0744628,51.5202074
traffic_signals,-0.0888077,51.5274199
traffic_signals,-0.042077,51.5107697
traffic_signals,-0.0609863,51.5110343
traffic_signals,-0.0958341,51.5406232
crossing,-0.141966,51.5153055
traffic_signals,-0.1391027,51.5208299
traffic_signals,-0.0564283,51.5308503
traffic_signals,-0.055868,51.5293391
traffic_signals,-0.0469759,51.4930925
traffic_signals,-0.0482907,51.4938105
crossing,-0.0738921,51.5091314
crossing,-0.0840767,51.5134087
crossing,-0.0777973,51.5131109
traffic_signals,-0.0964705,51.5128981
crossing,-0.0893107,51.5132991
crossing,-0.0890667,51.5135191
traffic_signals,-0.1094254,51.5141277
crossing,-0.1135293,51.5109198
traffic_signals,-0.116559,51.5004152
crossing,-0.1275661,51.507179
crossing,-0.1273553,51.5075061
traffic_signals,-0.1283895,51.511322
crossing,-0.1290796,51.513281
traffic_signals,-0.1330266,51.5114964
crossing,-0.1339402,51.5106947
traffic_signals,-0.1268946,51.5169129
traffic_signals,-0.1276187,51.5177982
traffic_signals,-0.122169,51.5198922
traffic_signals,-0.124264,51.5299397
traffic_signals,-0.1210887,51.5304193
traffic_signals,-0.1415321,51.5139899
crossing,-0.1338508,51.5009187
traffic_signals,-0.1339739,51.4978454
traffic_signals,-0.129389,51.4969057
traffic_signals,-0.0797899,51.497685
