x,y,seq,shape
493.1025,321.39136,1,0
520.4,321.4,2,0
493.1,321.5,3,0
135.78186,461.64432,1,2
135.8,485.6,2,2
135.7,461.9,3,2
474.0454,187.53249,1,4
473.3,188.1,2,4
478.8,182.5,3,5
483.6,179.1,4,5
486.0,177.9,5,6
524.1,141.6,6,6
524.1,145.2,7,7
486.0,179.1,8,7
527.6,135.7,9,8
531.4,133.3,10,8
528.8,139.0,11,8
474.0454,186.98051,1,10
472.5,188.1,2,10
476.4,184.5,3,11
483.6,178.8,4,11
478.9,185.7,5,12
476.4,187.2,6,12
486.0,177.6,7,13
524.1,141.4,8,13
524.3,145.2,9,14
486.0,179.4,10,14
527.5,135.7,11,15
531.6,133.3,12,15
528.8,139.3,13,15
476.42752,185.15652,1,17
475.6,185.7,2,17
478.8,182.8,3,18
481.2,181.5,4,18
481.5,183.3,5,19
478.8,184.8,6,19
521.7,144.1,7,20
483.6,179.6,8,20
512.4,157.1,9,21
486.0,178.7,10,21
527.9,135.7,11,22
530.8,135.7,12,22
528.8,138.5,13,22
426.3,150.0,1,24
428.4,147.6,2,24
429.1,150.0,3,25
423.5,154.8,4,25
435.6,138.1,5,26
452.6,112.2,6,26
435.9,141.0,7,26
452.3,109.5,8,27
452.6,109.0,9,27
457.0,102.4,10,28
455.0,106.0,11,28
475.3,185.7,1,30
474.0,188.1,2,30
476.4,186.7,3,30
478.8,182.7,4,31
483.6,179.3,5,31
486.0,178.2,6,32
521.7,143.9,7,32
502.9,166.7,8,33
486.0,178.9,9,33
527.8,135.7,10,34
531.1,135.7,11,34
528.8,138.8,12,34
452.9,183.3,1,36
449.3,185.7,2,36
471.7,171.4,3,36
455.0,180.7,4,37
474.0,168.5,5,37
476.4,166.3,6,38
483.5,161.9,7,38
476.4,167.1,8,38
497.9,321.5,1,40
516.4,321.4,2,40
495.5,321.4,3,40
497.9,321.5,4,40
445.45975,187.85194,1,42
445.0,188.1,2,42
447.5,185.7,3,43
452.6,181.8,4,43
455.0,179.8,5,44
474.0,167.0,6,44
469.3,173.5,7,45
455.0,182.2,8,45
476.4,165.3,9,46
483.6,161.3,10,46
502.6,142.6,11,47
500.2,144.8,12,47
474.0454,186.42857,1,49
471.7,188.1,2,49
476.4,184.3,3,50
526.5,138.1,4,50
526.6,142.9,5,51
500.2,169.7,6,51
476.4,187.5,7,51
527.3,135.7,8,52
531.9,133.3,9,52
528.8,139.6,10,52
488.3,177.0,1,54
490.7,174.1,2,54
499.9,164.3,3,55
521.7,144.7,4,55
521.9,147.6,5,56
500.2,167.8,6,56
526.5,139.9,7,57
526.5,141.1,8,57
522.5,595.2,1,59
521.6882,592.95636,2,59
521.2,595.2,3,59
524.0,602.4,4,60
543.1,675.8,5,60
545.5,673.4,6,60
541.6,642.9,7,60
524.1,596.9,8,60
526.7,604.8,1,62
526.2,604.8,2,62
528.8,611.9,3,63
543.1,668.8,4,63
539.3,640.5,5,63
528.9,607.1,6,63
295.3851,887.6517,1,65
294.7,892.9,2,65
296.8,883.3,3,66
306.4,828.6,4,66
300.2,876.2,5,67
297.8,887.6,6,67
328.73502,134.88457,1,69
328.0,138.1,2,69
334.2,126.2,3,70
345.4,104.9,4,70
347.1,102.4,5,71
347.8,101.5,6,71
348.5,97.6,7,72
352.6,90.5,8,72
350.2,101.3,9,72
388.28845,160.89745,1,74
387.9,161.9,2,74
400.2,148.8,3,75
419.3,131.0,4,75
400.2,151.8,5,75
419.25623,138.85416,1,77
417.6,140.5,2,77
431.2,128.3,3,78
431.2,128.8,4,78
421.6,158.2,1,80
418.9,159.5,2,80
420.4,157.1,3,80
419.5,159.5,4,81
418.9,159.5,5,81
423.5,152.4,6,82
450.2,112.5,7,82
450.2,121.2,8,83
424.0,156.2,9,83
451.4,109.5,10,84
452.6,107.7,11,84
454.3,104.8,12,85
455.0,97.7,13,85
459.0,100.0,14,85
455.0,109.4,15,85
405.2061,195.2381,1,87
409.7,196.6,2,87
412.1,195.3,3,88
416.9,190.5,4,88
412.1,192.7,5,89
411.6,195.2,6,89
410.0,197.6,7,90
407.1,202.4,8,90
412.1,203.4,9,90
426.4,196.4,10,90
476.4,156.4,11,90
507.1,121.4,12,90
516.1,119.0,13,90
511.6,126.2,14,91
