x,y,seq,shape
579.9748,486.60855,1,0
580.0,504.8,2,0
579.8,486.9,3,0
265.97568,104.742874,1,2
277.1,114.9,2,2
306.5,107.0,3,2
332.5,108.4,4,2
362.0,103.6,5,2
402.7,111.8,6,2
406.4,116.8,7,2
413.7,111.6,8,2
417.4,115.3,9,2
425.0,110.7,10,2
425.2,114.3,11,2
423.1,118.0,12,3
424.8,115.5,13,3
191.9,682.4,1,5
191.9,719.3,2,5
195.6,723.0,3,5
195.8,730.8,4,5
192.09355,678.2134,5,5
191.9,682.4,6,5
96.046776,305.98254,1,7
96.0,321.1,2,7
95.9,306.1,3,7
238.8,638.1,1,9
234.5,641.8,2,9
230.8,697.1,3,9
225.3,706.3,4,9
191.4,682.4,1,11
191.4,719.3,2,11
195.8,732.2,3,11
192.09355,676.78827,4,11
191.4,682.4,5,11
191.6,682.4,1,13
191.5,719.3,2,13
195.8,731.7,3,13
192.09355,677.26337,4,13
191.6,682.4,5,13
191.8,682.4,1,15
191.7,719.3,2,15
195.3,723.0,3,15
195.8,731.3,4,15
192.09355,677.73846,5,15
191.8,682.4,6,15
203.2,720.1,1,17
191.7,759.8,2,17
202.8,719.3,3,18
209.7,715.6,4,18
211.1,704.5,5,18
206.9,701.0,6,18
199.5,702.3,7,18
199.5,722.1,8,18
192.0,818.9,9,19
198.0,874.2,10,19
195.8,900.0,11,19
273.3639,113.17945,1,21
277.1,116.2,2,21
306.6,108.5,3,21
332.5,109.4,4,21
343.6,103.3,5,21
265.97568,104.10735,1,23
277.1,114.1,2,23
306.6,106.3,3,23
332.5,107.8,4,23
362.0,101.5,5,23
365.7,105.4,6,23
380.5,109.0,7,23
384.2,106.0,8,23
399.0,111.9,9,23
406.4,108.3,10,23
409.1,114.3,11,24
413.4,110.7,12,24
265.97568,105.06064,1,26
277.1,115.3,2,26
306.6,107.3,3,26
332.5,108.7,4,26
362.0,104.1,5,26
380.5,109.5,6,26
384.8,107.0,7,26
406.4,117.0,8,26
413.7,112.5,9,26
417.4,115.7,10,26
424.8,111.9,11,26
422.6,118.0,12,26
265.97568,104.42512,1,28
277.1,114.4,2,28
306.6,106.6,3,28
332.5,108.1,4,28
362.0,102.8,5,28
380.5,109.2,6,28
384.2,106.2,7,28
399.0,112.2,8,28
402.7,110.7,9,28
406.4,116.6,10,28
413.7,110.7,11,28
417.4,114.9,12,28
424.8,110.2,13,28
425.5,114.3,14,28
423.6,118.0,15,29
424.8,116.2,16,29
239.1,638.1,1,31
234.7,641.8,2,31
231.0,697.1,3,31
225.3,706.5,4,31
239.5,638.1,1,33
234.9,641.8,2,33
231.2,697.1,3,33
225.3,706.8,4,33
238.2,638.1,1,35
234.0,641.8,2,35
233.8,675.0,3,35
230.3,697.1,4,35
225.3,705.9,5,35
484.2,590.2,1,37
483.6,590.2,2,37
497.1,601.2,3,38
495.0,599.6,4,38
313.99908,737.44916,1,40
314.0,753.3,2,40
313.7,737.7,3,40
515.6,656.6,1,42
513.48083,653.1577,2,42
512.4,656.6,3,42
530.8,704.5,4,43
518.4,663.9,5,43
515.2,656.6,1,45
513.48083,653.7243,2,45
512.6,656.6,3,45
531.0,704.5,4,46
518.8,663.9,5,46
514.9,656.6,1,48
513.48083,654.2909,2,48
512.7,656.6,3,48
531.2,704.5,4,49
519.2,663.9,5,49
273.4,26.9,1,51
296.4,25.8,2,51
270.9,25.8,3,51
273.4,26.9,4,51
265.97568,103.78959,1,53
277.1,113.8,2,53
306.6,106.0,3,53
317.7,108.6,4,53
347.2,103.3,5,53
354.6,105.1,6,53
362.0,100.2,7,53
365.7,105.2,8,53
380.5,108.8,9,53
384.2,105.7,10,53
399.0,111.6,11,53
402.7,110.0,12,53
408.9,114.3,13,54
413.1,110.7,14,54
96.046776,305.7668,1,56
96.0,321.3,2,56
95.7,306.1,3,56
502.3985,154.78279,1,58
517.2,154.9,2,58
502.4,155.1,3,58
291.8,588.7,1,60
271.2,608.6,2,60
295.5,585.4,3,61
295.5,588.0,4,61
238.5,638.1,1,63
234.2,641.8,2,63
233.5,678.7,3,63
230.5,697.1,4,63
225.3,706.1,5,63
484.5,590.2,1,65
483.3,590.2,2,65
497.8,601.2,3,66
495.0,599.1,4,66
431.6,239.8,1,68
424.8,236.2,2,68
418.6,243.4,3,68
420.4,250.8,4,68
415.0,254.5,5,68
421.1,258.5,6,68
413.4,258.2,7,68
376.8,239.9,8,68
358.3,236.2,9,68
347.1,239.8,10,68
339.9,233.7,11,68
291.8,236.4,12,68
288.1,239.9,13,68
258.6,239.9,14,68
247.5,244.8,15,68
244.7,250.8,16,68
240.1,251.1,17,68
218.3,269.3,18,68
436.5,254.5,19,69
443.3,248.4,20,69
