x,y,seq,shape
6.0200667,0.0,1,0
40.1,8.3,2,0
52.2,5.2,3,0
64.2,13.6,4,0
88.3,21.9,5,0
120.4,24.8,6,0
124.9,36.2,7,0
160.5,70.1,8,0
188.6,87.7,9,0
216.7,98.8,10,0
252.8,121.7,11,0
252.8,124.6,12,0
798.66223,636.0914,1,2
822.7,646.7,2,2
834.8,647.1,3,2
862.9,663.1,4,2
1065.0502,614.9005,1,4
1066.8,631.0,2,4
1083.6,639.0,3,4
1091.6,636.3,4,4
1097.4,627.0,5,4
1113.9,578.7,6,4
1115.7,514.4,7,4
1122.0,462.2,8,4
1143.8,432.0,9,4
1151.8,396.5,10,4
1157.1,389.8,11,4
1155.4,373.8,12,4
1163.4,353.7,13,4
1200.0,329.6,14,4
0.0,229.08058,1,6
64.2,244.2,2,6
76.3,253.2,3,6
80.3,261.2,4,6
100.3,267.3,5,6
116.4,277.3,6,6
0.0,355.67773,1,8
3.8,389.8,2,8
3.5,401.9,3,8
0.0,407.4,4,8
0.0,295.39337,1,10
3.0,301.4,2,10
0.0,327.5,3,10
425.4,783.7,1,12
413.4,817.1,2,12
377.3,848.0,3,12
269.39798,0.0,1,14
276.9,4.4,2,14
293.0,6.0,3,14
311.8,0.0,4,14
0.0,102.48341,1,16
16.1,96.5,2,16
16.1,92.4,3,16
24.1,88.4,4,16
56.2,86.4,5,16
76.3,88.4,6,16
88.3,96.5,7,16
144.5,114.5,8,16
182.6,132.6,9,16
200.7,136.6,10,16
293.0,184.9,11,16
321.1,196.9,12,16
341.1,200.9,13,16
345.2,206.3,14,16
361.2,209.0,15,16
381.3,218.6,16,16
393.3,228.1,17,16
445.5,255.2,18,16
461.5,275.3,19,16
477.6,285.3,20,16
473.6,289.4,21,16
477.6,285.3,22,16
478.9,289.4,23,16
477.6,293.4,24,16
473.6,289.4,25,16
457.5,289.4,26,16
393.3,250.8,27,16
369.2,245.2,28,16
353.2,246.5,29,16
337.1,240.5,30,16
256.9,226.7,31,16
212.7,215.4,32,16
188.6,221.8,33,16
168.6,215.0,34,16
116.4,217.8,35,16
104.3,214.3,36,16
40.1,214.5,37,16
0.0,209.0,38,16
0.0,30.142172,1,18
12.0,38.2,2,18
36.1,41.2,3,18
96.3,59.9,4,18
128.4,82.4,5,18
208.7,121.6,6,18
248.8,146.1,7,18
317.1,175.7,8,18
371.2,192.9,9,18
445.5,234.8,10,18
509.7,278.0,11,18
520.7,289.4,12,18
541.8,295.4,13,18
569.9,311.5,14,18
614.0,327.9,15,18
648.2,357.7,16,18
