easting,northing,density
200000,240000,0.014925373
320000,210000,0.0025641026
300000,320000,0.027777778
310000,270000,0.009615385
290000,260000,0.009259259
180000,230000,0.015873017
360000,420000,4.5392648E-4
280000,310000,0.02020202
310000,190000,7.733952E-4
250000,660000,2.4443903E-4
330000,340000,0.0014858841
260000,260000,0.025
280000,230000,0.011494253
290000,180000,0.0055991043
420000,560000,4.43459E-4
260000,340000,0.006134969
310000,350000,0.010050251
270000,290000,0.019417476
390000,280000,5.6996295E-4
460000,520000,0.0013262599
280000,330000,0.036363635
310000,330000,0.013888889
260000,360000,0.009345794
170000,220000,0.015384615
310000,170000,7.815553E-4
320000,310000,0.0088495575
290000,320000,0.01724138
300000,180000,0.0027149322
270000,190000,7.674597E-4
320000,330000,0.0034482758
270000,220000,0.012048192
330000,390000,1.9135093E-4
300000,220000,0.014492754
310000,290000,0.0033783785
280000,170000,0.0018281536
230000,620000,0.0011668612
250000,380000,0.026086956
240000,660000,0.0016411379
320000,340000,0.0018281536
310000,740000,0.0034843206
520000,170000,1.718213E-4
400000,610000,0.008333334
280000,350000,0.011764706
250000,190000,0.0011750881
300000,290000,0.0055555557
290000,710000,0.004672897
290000,220000,0.016393442
300000,200000,9.1911765E-4
300000,190000,8.2508253E-4
590000,300000,0.002247191
280000,370000,0.0045045046
300000,360000,0.003144654
250000,360000,0.0028985508
550000,170000,5.09165E-4
310000,680000,0.0016570009
290000,370000,0.0019047619
290000,670000,0.0013717421
320000,660000,8.130081E-4
270000,300000,0.0051282053
330000,190000,0.001572327
280000,690000,0.0022675737
380000,390000,1.4861049E-4
300000,680000,0.0012578616
230000,360000,0.009433962
250000,210000,0.003021148
280000,300000,0.032967035
320000,360000,0.0045011253
260000,280000,0.009478673
340000,210000,0.0048076925
320000,190000,0.006688963
380000,220000,0.0018939395
390000,170000,0.0011600928
310000,360000,0.0056818184
260000,330000,0.008695652
300000,660000,0.0011363636
310000,280000,0.008928572
290000,270000,0.016129032
460000,430000,0.0013550136
260000,350000,0.010416667
220000,220000,0.014084507
270000,380000,0.005524862
280000,670000,0.0045045046
230000,250000,0.00952381
220000,650000,0.0033003301
320000,300000,0.003816794
230000,680000,0.0023094688
310000,180000,0.0039128005
250000,240000,0.013071896
460000,190000,0.0024752475
250000,370000,0.001814882
300000,210000,0.02173913
270000,640000,0.0020449897
450000,100000,4.8239267E-4
240000,380000,0.009090909
270000,340000,0.010869565
250000,670000,0.0017825312
310000,210000,0.003960396
320000,200000,0.004454343
390000,290000,2.0487605E-4
270000,660000,4.668534E-4
490000,330000,0.0014556041
170000,230000,0.04761905
490000,150000,6.6401064E-4
320000,320000,0.0024213076
260000,190000,0.0025471218
560000,100000,0.0011933175
300000,170000,0.0048076925
230000,630000,0.003537736
370000,400000,2.0145044E-4
250000,350000,0.009615385
300000,370000,0.0025062656
310000,300000,0.0060975607
260000,290000,0.01438849
320000,180000,0.0029563932
310000,750000,0.022222223
310000,320000,0.020408163
410000,560000,6.877579E-4
290000,310000,0.06
280000,360000,0.006849315
190000,230000,0.0077220076
290000,740000,0.019607844
330000,200000,0.0030959751
240000,670000,0.0055991043
260000,310000,0.0062111802
230000,220000,0.012820513
330000,220000,0.007518797
230000,650000,0.0023148148
330000,350000,0.0021261517
290000,230000,0.014285714
280000,250000,0.033898305
290000,660000,0.0010649627
320000,370000,0.0015384615
450000,160000,9.746589E-4
340000,630000,0.0030395137
250000,630000,0.0031152647
290000,360000,0.018867925
230000,780000,0.021276595
260000,270000,0.008
290000,190000,0.0011904762
240000,650000,0.0065789474
420000,540000,9.2336105E-4
250000,200000,0.00147929
290000,250000,0.03846154
310000,370000,0.0023980816
520000,180000,3.5254715E-4
320000,670000,3.3046928E-4
270000,270000,0.009708738
270000,310000,0.01923077
300000,300000,0.013157895
