name	easting	northing
Eilean Achnacochine	230849	780891
Cochrane's Wynd	294104	712699
Glen Cochill	290691	741385
Moss of Cochrage	314120	749807
Cochrage Muir	311810	750329
Cochrane Place	235000	625803
Cochrane Avenue	236503	634839
Cochrane Street	231528	638682
Cochrane Drive	236408	634892
Cochrane Street	231338	654602
Cochrane Place East	220402	659733
Cochrane Place	231315	682575
Cochrane Place	254018	637251
Cochran Avenue	248488	657235
Cochrane Street	249892	658889
Cochrane Street	259419	665314
Cochno Road	249807	673042
Cochno Gardens	249801	673363
Cochno Road	250351	673926
Cochno Brae	249837	673433
Cochrane Square	243924	664530
Cochran Street	248920	663874
Cochno Street	250220	670042
Cochno Hill	248330	675613
Cochno Loch	248985	676231
Cochranemill Road	241396	662143
Cochrane Street	270179	644942
Cochrane Street	272939	660425
Cochrane Avenue	288715	679605
Cochrane Street	297234	669207
Cochrane Street	288846	679500
Cochrane Grove	290661	678265
Cochrie Place	286044	694771
Cochrane Crescent	287492	697248
Cochrane Square	304629	664650
Cochrane Avenue	313761	682727
Cochrane Way	315487	684117
Cochrane Road	309522	682429
Cochrane Place	327500	675722
Cochrina Place	328769	662692
Cochrane Place	349930	635044
Cochrane Pike	400719	614023
Cochran Street	418159	563500
Cochrane Mews	423109	542451
Cochrane Street	422059	564034
Cochrane Park Avenue	427456	566852
Cochrane Gardens	460711	523063
Cochrane Street	371791	408250
Cochran Street	369261	422000
Cochrane Street	461878	431256
Porth Cerig-cochion	237015	364968
Llyn Coch	259837	354456
Coed Cefn Coch	257198	376144
Capel-Coch Road	257714	360064
Capel Coch	245871	382153
Traeth Coch	252422	380862
Traeth-coch	255325	381428
Traeth Coch Uchaf	252184	380619
Muriau-cochion Wood	267848	319105
Cwm Coch	277239	314785
Bryn-Coch	276155	303020
Coed Cochion	278765	310827
Coed Pont-cefn-coch	276562	317064
Ceunant Coch	263045	336612
Ceunant Coch	271431	340434
Cerrig Cochion	266253	351064
Coed Tŷ-coch	266013	341225
Coed Cochwillan	260517	369280
Cwm-coch	263574	361255
Ty-Coch Road	277933	382764
Creigiau Cochion	275632	383437
Commins Coch	284418	303212
Coed Cefn-coch	283796	303389
Coed Cefncoch	286535	314245
Llyn Coch-hwyad	292189	311011
Coed Cochion	296726	311910
Mynydd Coch	293905	319658
Cwm Coch	287448	300983
Coed Tŷ-coch	285923	310905
Cefn Coch	292324	326658
Coed Bryn Coch	286969	332324
Coed Penbryncoch	287415	333321
Coed Cefncoch	285524	352431
Coed Coch Road	286930	377831
Bryn Coed Coch	287052	377493
Coed Coch Road	286930	377831
Coed Cochion	291202	369346
Cefn-coch Covert	283553	364774
Coed Plas-Coch	299071	368706
Bryn Coch	295017	377166
Cefn Coch	304826	302841
Coed Plas coch	310875	309906
Coed Cochion	315686	327219
Coed Cochion	301157	320360
Bryn Coch	303831	323203
Coed Cochion	315409	333357
Coed Cochion	315580	320304
Bryn Coch	312921	358029
Coed Cochion	313634	354280
Lon Tai Cochion	305029	375378
Ty-Coch Street	302340	368253
Bryn Coch Lane	319993	364663
Coed Cochion	310974	372592
Cochion Redwood Close	324439	305970
Bryn Coch	320731	319663
Coed Cochion	320372	311517
Coed Cochion	322881	328758
Cefn Coch	323215	333276
Plas Coch	332601	351321
Cae-Coch Lane	328074	342763
Plas Coch Road	332683	351437
Bryn Coch	332073	350183
Nant-y-cae-coch Wood	330461	342143
Bryn Coch Uchaf	323301	363140
Lon Bryn Coch	323485	363401
Cwrt Maes Coch	322445	374896
Upper Bryn Coch	322920	362990
Bryn Coch Crescent	323432	363222
Bryn Coch Uchaf	323301	363140
Upper Bryn Coch	322813	363034
Cochrane Street	335659	392137
Cochrane Avenue	386363	396326
Cochran Close	490697	337559
Porth Coch Bach	175085	224199
Llechaucochion	178166	231374
Porth Coch Bach	173125	223583
Porth Coch Mawr	174928	224105
Porth Coch	174404	228837
Porth Coch	188176	235996
Rhos Carne-coch	193040	237144
Pen Castell-coch	183942	233827
Coch y Ceiliog	197145	237909
Pwll Coch	206550	243405
Allt Clawdd-coch	235932	226074
Allt Clyn-coch	220598	222773
Allt Clun-coch	234440	252936
Bryncoch	253223	200717
Cae Coch	253141	212993
Allt Beili-coch	257923	246712
Allt Tan-coed-cochion	254524	244222
Heol Y Llidiart-Coch	271395	221269
Cnwch Coch	267585	275048
Cwm-coch	262994	260313
Cefn Coch	278452	272984
Comins Coch	261407	282173
Penrhyn-coch	264217	284062
Coed Pant-coch	266838	293142
Pant-coch Wood	266626	293492
Cefn Coch	274896	296115
Coed Cefn-Coch	274699	296865
Coed Cochion	293904	227636
Coed Pen-coch	298856	233913
Coed Cochion	284332	239573
Coed Clawdd-coch	284744	253413
Coed Cochion	294996	251718
Cae-coch Wood	299892	254439
Cefn Coch	282586	254031
Comin Coch	295759	251937
Cronfa Ddŵr Caban-coch	291662	263159
Coed Cwm-coch	294790	270208
Bryn Coch	316592	211994
Bryn Coch	318261	212000
Tai Cap Coch	302409	200005
Cefn Tarenni Cochion	306298	215857
Cerrigcochion Road	305213	229175
Cerrigcochion Lane	304866	228866
Cerrigcochion Road	305026	228923
Cwm Coch	313474	277652
Cwm Coch	305246	291014
Bryn Coch	312484	284858
Cwm-Cochen	311668	296458
Coch-Y-North Road	326041	200461
Prescoch Lane	328796	200207
Cefn Coch	322137	209323
Pwll Coch	320444	215917
Coed Ty-coch	331260	200255
Coch-Y-North Road	326774	200757
Cwmcoched	332073	226806
Tŷ-coch Wood	342040	216284
Cochran Close	388222	220300
Cochrane Road	392650	288467
Cochrane Close	391237	281955
Cochrane Close	397356	292659
Coed Bryn-coch	255343	192048
Bryn-coch	274347	199803
Ty-coch	262245	193422
Coch-Y-Cwm Road	268046	194892
Coch-Y-Cwm Road	268072	194865
Tycoch Road	262543	193302
Coch-Y-Cwm Road	268257	194652
Clos Y Cudyll Coch	288484	179293
Bryncoch	290950	183727
Bryncoch Road	290329	183344
Deri Cochion	294875	181704
Bryncoch Road	290347	183301
Mynydd Tyle-coch	293458	196972
Heol Glyncoch	298749	188364
Ty-Coch Road	313298	176432
Coed Mynydd-coch	303104	174575
Pwll Coch Street	315517	176355
Glyncoch	307485	192326
Bryncoch	311947	184067
Penbryn Coch	301440	180518
Coed Cochwyn Avenue	317256	182059
Tylacoch	300991	180472
Heol Tir Coch	308404	184420
Ty Bryncoch	312069	183782
Bryn Coch	312052	183903
Cwrt-Coch Street	315622	199986
Castell Coch View	313437	182371
Coedcochwyn	317098	181920
Cefn Coch	312408	181233
Ty Coch	329224	193694
Ty Coch Lane	330172	192480
Ty-Coch Lane	329121	193650
Ty Coch Way	329222	193959
Prescoch Lane	328586	199630
Ty Coch Lane	329731	192893
Castell Coch Drive	329313	184396
Nant Coch Rise	329168	187829
Plas Ty-Coch	329769	193617
Nant Coch Drive	329202	187831
