easting,northing,density
200000,670000,0.018867925
180000,820000,0.008928572
200000,750000,0.020833334
280000,740000,0.010869565
180000,740000,0.010204081
130000,850000,0.012820513
120000,900000,0.008064516
150000,820000,0.07575758
150000,740000,0.011494253
160000,770000,0.006329114
120000,640000,0.006451613
230000,930000,0.016393442
130000,690000,0.007352941
230000,770000,0.02
210000,880000,0.010526316
290000,790000,0.015873017
230000,850000,0.012048192
200000,930000,0.011363637
90000,860000,0.0076923077
180000,760000,0.018181818
210000,760000,0.019417476
230000,730000,0.015151516
270000,780000,0.040816326
310000,760000,0.022727273
300000,770000,0.048780486
130000,910000,0.0031347962
140000,730000,0.025423728
200000,770000,0.007518797
180000,640000,0.020833334
220000,920000,0.013513514
160000,790000,0.014285714
230000,690000,0.014084507
190000,890000,0.023809524
240000,860000,0.016393442
210000,940000,0.005
290000,810000,0.011363637
220000,800000,0.01369863
270000,830000,0.022727273
270000,960000,0.00990099
140000,830000,0.028571429
210000,740000,0.014705882
240000,830000,0.014705882
170000,840000,0.015625
200000,700000,0.020833334
140000,920000,0.0067114094
160000,640000,0.0054945056
140000,750000,0.007633588
190000,650000,0.023809524
210000,910000,0.012345679
170000,670000,0.009259259
220000,680000,0.0033333334
200000,800000,0.015625
160000,730000,0.016129032
300000,790000,0.021276595
130000,720000,0.010869565
200000,720000,0.01724138
250000,700000,0.011235955
200000,890000,0.039473683
170000,770000,0.010526316
310000,830000,0.010989011
250000,960000,0.02739726
300000,800000,0.016949153
130000,640000,0.0035460992
240000,810000,0.03448276
220000,960000,0.046511628
190000,840000,0.011111111
140000,640000,0.007575758
200000,870000,0.040816326
260000,750000,0.022727273
250000,770000,0.028571429
180000,860000,0.040816326
330000,790000,0.010752688
230000,790000,0.07317073
170000,880000,0.0125
300000,910000,0.02173913
150000,810000,0.019607844
100000,740000,0.0037313432
150000,730000,0.01754386
170000,700000,0.020134227
260000,760000,0.03846154
170000,890000,0.06122449
240000,700000,0.01923077
240000,790000,0.018518519
280000,810000,0.021276595
180000,810000,0.011904762
300000,840000,0.017857144
120000,650000,0.006289308
200000,760000,0.0074074073
240000,800000,0.02173913
210000,930000,0.006451613
220000,750000,0.022727273
110000,930000,0.0013869626
140000,720000,0.006289308
180000,710000,0.021276595
320000,750000,0.023255814
140000,850000,0.014925373
220000,880000,0.031746034
190000,880000,0.032608695
210000,890000,0.012269938
230000,860000,0.014492754
180000,770000,0.010204081
310000,800000,0.014285714
170000,790000,0.009259259
190000,760000,0.0121951215
280000,770000,0.05882353
210000,770000,0.024793388
260000,710000,0.0121951215
220000,930000,0.012820513
260000,800000,0.025641026
280000,870000,0.023255814
190000,640000,0.013333334
200000,620000,0.015625
220000,860000,0.018867925
280000,790000,0.069767445
190000,720000,0.071428575
70000,810000,0.007142857
200000,880000,0.04477612
210000,750000,0.012345679
240000,760000,0.023809524
170000,850000,0.010204081
140000,840000,0.006756757
190000,740000,0.011235955
180000,890000,0.040816326
130000,900000,0.0068965517
110000,750000,0.006993007
220000,950000,0.006451613
170000,680000,0.007874016
130000,820000,0.016666668
260000,740000,0.023255814
290000,910000,0.037037037
160000,740000,0.015151516
200000,730000,0.02020202
250000,760000,0.075
330000,780000,0.030303031
190000,910000,0.027777778
210000,840000,0.056603774
230000,780000,0.021276595
200000,900000,0.014705882
250000,800000,0.060606062
170000,800000,0.022222223
270000,740000,0.016949153
240000,780000,0.015625
170000,870000,0.006756757
210000,730000,0.024390243
140000,820000,0.03846154
120000,710000,0.03846154
260000,890000,0.013513514
190000,850000,0.033333335
210000,900000,0.046153847
340000,820000,0.010309278
240000,820000,0.017857144
140000,650000,0.009009009
