name	easting	northing
Bogha Dearg	113240	932209
Lochan Dearg	121121	904159
Loch Chlachan Dearga	136187	914974
Loch Chlachan Dearga	130540	909397
Rubha Dearg	149908	929470
Meall Dearg	198668	910771
Lochan Dearg	199745	912829
Lochan Dearg	215528	909574
Creag Dearg	210270	901126
Meall Dearg	214821	908727
Lochan Dearg	209477	907154
Lochan Dearg a' Chùil Mhòir	215697	910655
Meall Dearg	211289	934076
Geodh' Dearg	202555	934320
Geodh' Dearg	212507	947720
Càrn Dearg	237703	938929
Meall Dearg	229736	934183
Coire Dearg	225232	926951
Meall Dearg	224667	959351
Meall Dearg	227334	962025
Beinn Dearg	227938	965800
Bodach Dearg	250029	968751
Geodha Dearg	250623	968183
Rubha Dearg	273495	963880
Druim Dearg	292816	914277
Sgreadan Dearg	308205	919555
Strom Dearg	76888	819566
Strom Dearg	91581	868206
Beinnean Dearga	138884	829457
Creagan Dearga	131868	856286
Càrn Dearg	159899	815998
Beinn Dearg Bheag	159264	821968
Meallan Dearg	148485	822669
Meall Dearg	149330	823059
Beinn Dearg Mheadhonach	151517	827111
Sgùrr Dearg	144385	821590
Loch Dearg	145120	835387
Beinn Dearg Mhòr	158771	822854
Beinn Dearg Mhòr	152033	828498
Beinn Dearg	151469	827677
Ionad Carn Dearg	148214	844098
Ben Dearg	147825	850428
Creagan Dearga	173224	800156
Eilean Dearg	170636	800973
Càrn Dearg	178250	845057
Meall Dearg	175461	854604
Carn Dearg	176280	877544
Meallan Dearg Mòr	178230	891409
Camasain Dearga	173674	887864
Lochan Dearg	178278	891756
Camasan Dearga	173809	890373
Sgùrr Dearg	187236	813140
Loch Dearg	187511	822355
Lochan Dearg Beag	194507	852382
Maol Chean-Dearg	192404	849912
Meall Dearg	193512	851514
Lochan Dearg	192976	852195
Beinn Dearg	189530	860817
Lochan nan Leacann Dearga	184259	868839
Beinn Dearg Bheag	191183	888212
Gleann Beinn Dearg	185718	892290
Càrn Dearg Ailein	197459	895239
Loch Beinn Dearg Bheag	190920	888298
Loch Beinn Dearg	185659	892215
Beinn Dearg Bheag	186274	892579
Càrn Dearg an Droma	197269	894444
Geodh' Dearg	180846	892434
Beinn Dearg Mhòr	186123	892766
Beinn Dearg Bad Chailleach	191280	887683
An Deargann	181628	891959
Maol Chinn-Dearg	203224	808771
Coire Loch nam Breac Dearga	214432	845626
Coire Dearg Mòr	210218	845119
Loch nam Breac Dearga	214570	845750
Loch Beinn Dearg	202423	878882
Beinn Dearg Mòr	203221	879929
Srath Beinn Dearg	201102	880197
Lochan Dearg	214100	896356
Coire Dearg	205999	888876
Beinn Dearg Bheag	201995	881137
