easting,northing,density
260000,850000,0.016666668
230000,590000,0.022222223
370000,100000,0.007168459
310000,610000,0.00952381
230000,670000,0.0027100272
330000,750000,0.013100437
330000,670000,0.0026595744
360000,850000,0.008264462
590000,160000,0.0074850298
230000,80000,0.0033112583
470000,100000,0.0047393367
410000,530000,0.0018416207
360000,770000,0.01754386
240000,630000,0.0010799136
310000,530000,0.0033112583
400000,490000,0.027149322
260000,690000,0.044444446
320000,1010000,0.008196721
370000,810000,0.004032258
340000,550000,0.008905852
560000,220000,0.0025839794
510000,290000,0.0016168149
410000,290000,0.008068854
440000,550000,0.004901961
340000,390000,0.0034364262
270000,650000,0.0036079374
390000,320000,0.003533569
340000,1010000,0.0029498525
440000,390000,0.00729927
330000,1010000,0.00952381
540000,390000,0.011904762
610000,290000,0.0021881838
460000,220000,0.008064516
580000,280000,0.015555556
390000,160000,0.004672897
410000,450000,0.009090909
320000,330000,0.0068965517
290000,160000,0.008474576
490000,160000,0.007751938
510000,450000,0.004
400000,650000,0.03448276
350000,1010000,0.03076923
350000,430000,0.0040068687
450000,510000,0.0022948938
420000,170000,0.0042918455
400000,100000,0.0066225166
520000,170000,0.0065292097
350000,260000,0.021929825
350000,340000,0.005181347
450000,340000,0.0051462622
300000,100000,0.003012048
250000,190000,0.0011750881
350000,190000,0.005444646
530000,120000,0.0027149322
430000,120000,0.0043604653
480000,280000,0.0026223776
330000,210000,0.013513514
330000,120000,0.0088691795
320000,250000,0.013761468
380000,280000,0.004310345
420000,250000,0.008492569
460000,300000,0.0033204206
620000,250000,0.010498688
360000,300000,0.0037700282
500000,100000,7.54717E-4
320000,170000,0.0062695923
550000,260000,0.010695187
270000,560000,0.010752688
320000,400000,0.0032573289
340000,470000,0.019736841
370000,560000,0.015075377
520000,400000,0.005121639
530000,210000,0.0027522936
560000,300000,0.0017699115
380000,370000,0.0064267353
320000,960000,0.055555556
300000,570000,0.005181347
200000,50000,0.003821656
390000,90000,0.0058139535
390000,410000,0.005504587
560000,150000,0.009814613
490000,410000,0.007434944
360000,150000,0.010362694
460000,150000,0.0027605244
390000,240000,0.007984032
380000,600000,0.016129032
360000,70000,0.0014992504
490000,240000,0.008902078
410000,520000,0.0024509805
360000,680000,0.054054055
590000,170000,0.0018382353
390000,170000,0.004640371
590000,330000,0.002739726
310000,600000,0.010869565
300000,660000,0.003409091
490000,250000,0.0027777778
440000,540000,0.0090673575
370000,110000,0.004282655
290000,960000,0.016129032
570000,110000,0.008450705
230000,680000,0.011547344
380000,290000,0.001754386
200000,640000,0.05
400000,820000,0.014925373
450000,190000,0.004166667
370000,820000,0.002754821
620000,320000,0.0022779044
410000,280000,0.0065159067
420000,320000,0.006
440000,380000,0.008410429
490000,150000,0.0033200532
390000,330000,0.00996016
410000,460000,0.011070111
580000,290000,0.021052632
330000,1020000,0.006849315
610000,280000,0.004514673
480000,270000,0.0070921984
420000,260000,0.0025575447
480000,440000,0.007518797
370000,660000,0.00729927
400000,110000,0.003937008
580000,190000,0.0052173915
550000,270000,0.026726058
370000,490000,0.021052632
320000,180000,0.006651885
360000,80000,0.0076687117
320000,950000,0.018518519
420000,160000,0.006968641
320000,780000,0.015151516
620000,330000,0.001934236
380000,360000,0.0023557127
450000,520000,0.005357143
180000,60000,0.014344262
250000,180000,0.0056179776
620000,160000,0.0072815535
450000,350000,0.0035056968
530000,110000,0.004103967
390000,230000,0.019323671
590000,230000,0.005194805
360000,140000,0.004854369
350000,90000,0.01529052
560000,310000,0.0052539404
390000,400000,0.0041657025
280000,380000,0.0040816325
340000,460000,0.0037353255
360000,310000,0.007454739
280000,40000,0.025477707
290000,250000,0.012820513
320000,240000,0.008298756
520000,180000,0.003349198
480000,90000,0.003478261
540000,290000,0.007707129
530000,220000,0.0021459227
200000,60000,0.0073710075
560000,140000,0.006821282
270000,570000,0.010526316
480000,380000,0.00456621
510000,370000,0.012269938
210000,190000,0.033333335
290000,690000,0.0023419203
300000,670000,0.001996008
340000,610000,0.0045454544
340000,100000,0.0034129692
240000,60000,0.0020325202
390000,420000,0.003322259
510000,190000,0.0050779833
360000,160000,0.0030864198
270000,710000,0.033333335
330000,930000,0.09090909
410000,430000,0.006867112
610000,270000,0.009487666
440000,370000,0.0023847376
460000,240000,0.0053050397
200000,70000,0.020689655
360000,590000,0.01724138
390000,340000,0.0024390244
590000,180000,0.0019646366
490000,180000,0.0040677967
170000,200000,0.006451613
570000,200000,0.004091653
470000,200000,0.0016920473
320000,150000,0.015625
630000,300000,0.0016666667
420000,310000,0.0036563072
140000,730000,0.008474576
530000,140000,0.005905512
350000,410000,0.006222775
330000,730000,0.0018248175
330000,690000,0.0063091484
630000,140000,0.0059101656
500000,200000,0.0048691416
620000,150000,0.0017730496
450000,360000,0.0045045046
360000,670000,0.003003003
490000,500000,0.010452962
370000,750000,0.010830325
320000,940000,0.027777778
480000,350000,0.0015432099
270000,670000,0.0046040514
160000,20000,0.0049261083
520000,340000,0.009259259
320000,510000,0.0069444445
420000,510000,0.0063119926
620000,340000,0.0038910506
320000,850000,0.011764706
380000,350000,0.00354251
280000,180000,0.0045592706
150000,960000,0.009259259
400000,630000,0.013333334
390000,220000,0.0077200206
400000,200000,0.0022371365
350000,360000,0.002232143
510000,470000,0.0072727273
590000,300000,0.004494382
450000,170000,0.01
490000,300000,0.006060606
550000,170000,0.0066191447
580000,180000,0.001177163
360000,210000,0.004484305
320000,1000000,0.013824885
490000,220000,0.0013986015
440000,490000,0.009708738
450000,80000,0.005312085
420000,230000,0.010752688
450000,450000,0.004995837
320000,230000,0.016949153
370000,390000,0.0066155987
520000,190000,0.0044133873
510000,380000,0.003816794
250000,280000,0.004651163
430000,490000,0.009411764
430000,100000,0.0033003301
400000,550000,0.005449591
300000,120000,0.0029761905
330000,660000,0.00390625
380000,260000,0.0051282053
330000,100000,0.009202454
560000,320000,0.00311042
150000,30000,0.007989348
420000,190000,0.011574074
230000,70000,0.015957447
440000,360000,0.0011135858
560000,330000,0.0055710305
490000,170000,0.0029112082
510000,180000,0.0012703252
390000,860000,0.00795756
390000,430000,0.0147492625
360000,1020000,0.0057142857
340000,540000,0.008474576
190000,190000,0.009090909
370000,800000,0.032608695
340000,110000,0.0012804097
400000,840000,0.010989011
360000,170000,0.005232862
410000,440000,0.005010737
420000,300000,0.005221932
470000,110000,0.0041067763
310000,90000,0.0023310024
390000,350000,0.005313496
610000,260000,0.004901961
360000,860000,0.004784689
630000,150000,0.008438818
450000,370000,0.004137931
510000,460000,0.007022472
500000,210000,0.0073937154
590000,310000,0.0031347962
480000,290000,0.002570694
350000,1000000,0.0038461538
410000,500000,0.0021645022
570000,210000,0.0023809525
360000,660000,0.009615385
390000,150000,0.003164557
550000,190000,0.010956903
350000,420000,0.0014301037
320000,1020000,0.0048076925
440000,560000,0.007575758
320000,500000,0.029411765
520000,320000,0.006203474
270000,660000,0.004201681
360000,230000,0.010050251
320000,930000,0.0076923077
330000,740000,0.014084507
260000,840000,0.004895961
520000,270000,0.0011947431
530000,130000,0.00407332
380000,340000,0.00456621
620000,140000,0.012110727
380000,270000,0.0051057623
430000,110000,0.013289036
440000,1110000,0.008403362
550000,180000,0.004497751
520000,330000,0.0049261083
