x,y,y2,profile,colour,colourProfile
193,1423,1417,1,green,1
263,1427,1417,1,green,1
263,1427,1417,1,red,2
324,1610,1417,1,red,2
400,1463,1417,1,red,2
400,1463,1417,1,green,3
456,1427,1417,1,green,3
663,1516,1417,1,green,3
663,1516,1417,1,red,4
737,1574,1417,1,red,4
916,1576,1417,1,red,4
934,1524,1417,1,red,4
934,1524,1417,1,green,5
1493,1461,1417,1,green,5
1724,1431,1417,1,green,5
1999,1457,1417,1,green,5
1999,1457,1417,1,red,6
2096,1457,1417,1,red,6
2317,1427,1417,1,red,6
2512,1425,1417,2,red,7
2651,1445,1417,2,red,7
2819,1429,1417,2,red,7
2819,1429,1417,2,green,8
2922,1429,1417,2,green,8
3018,1443,1417,2,green,8
3018,1443,1417,2,red,9
3060,1455,1417,2,red,9
3161,1433,1417,2,red,9
3358,1433,1417,2,red,9
131,1110,1092,3,red,10
195,1156,1092,3,red,10
390,1220,1092,3,red,10
390,1220,1092,3,grey,11
856,1212,1092,3,grey,11
856,1212,1092,3,red,12
910,1230,1092,3,red,12
995,1230,1092,3,red,12
995,1230,1092,3,green,13
1117,1238,1092,3,green,13
1180,1218,1092,3,green,13
1206,1194,1092,3,green,13
1481,1146,1092,3,green,13
1971,1100,1092,3,green,13
2100,1114,1092,3,green,13
2144,1100,1092,3,green,13
2208,1104,1092,4,green,14
2283,1118,1092,4,green,14
2385,1098,1092,4,green,14
2500,1102,1092,5,green,15
2679,1128,1092,5,green,15
2679,1128,1092,5,red,16
2880,1158,1092,5,red,16
2956,1110,1092,5,red,16
2956,1110,1092,5,green,17
3018,1130,1092,5,green,17
3155,1104,1092,5,green,17
153,776,770,6,yellow,18
281,786,770,6,yellow,18
305,832,770,6,yellow,18
305,832,770,6,red,19
337,937,770,6,red,19
337,937,770,6,grey,20
350,983,770,6,grey,20
368,937,770,6,grey,20
368,937,770,6,red,21
394,883,770,6,red,21
456,879,770,6,red,21
456,879,770,6,grey,22
659,879,770,6,grey,22
659,879,770,6,red,23
715,893,770,6,red,23
735,945,770,6,red,23
735,945,770,6,grey,24
756,979,770,6,grey,24
794,969,770,6,grey,24
816,945,770,6,grey,24
816,945,770,6,red,25
852,883,770,6,red,25
852,883,770,6,grey,26
894,881,770,6,grey,26
930,911,770,6,grey,26
930,911,770,6,red,27
995,967,770,6,red,27
995,967,770,6,grey,28
1051,1007,770,6,grey,28
1095,969,770,6,grey,28
1137,1007,770,6,grey,28
1168,961,770,6,grey,28
1168,961,770,6,red,29
1204,885,770,6,red,29
1204,885,770,6,green,30
1475,832,770,6,green,30
2007,786,770,6,green,30
2166,778,770,6,green,30
2347,796,770,6,green,30
2540,826,770,6,green,30
2540,826,770,6,red,31
2644,846,770,6,red,31
2751,806,770,6,red,31
2751,806,770,6,green,32
2934,778,770,6,green,32
279,461,455,7,yellow,33
388,473,455,7,yellow,33
388,473,455,7,grey,34
460,499,455,7,grey,34
571,503,455,7,grey,34
603,469,455,7,grey,34
796,539,455,7,grey,34
796,539,455,7,red,35
854,561,455,7,red,35
936,649,455,7,red,35
994,597,455,7,red,35
1067,555,455,7,red,35
1067,555,455,7,grey,36
1186,563,455,7,grey,36
1451,495,455,7,grey,36
1451,495,455,7,blue,37
1865,473,455,7,blue,37
2269,495,455,7,blue,37
2269,495,455,7,red,38
2397,505,455,7,red,38
2554,477,455,7,red,38
2554,477,455,7,blue,39
2819,469,455,7,blue,39
454,139,133,8,grey,40
490,149,133,8,grey,40
539,187,133,8,grey,40
579,145,133,8,grey,40
607,143,133,8,grey,40
735,141,133,9,grey,41
926,236,133,9,grey,41
926,236,133,9,red,42
981,254,133,9,red,42
1059,236,133,9,red,42
1059,236,133,9,grey,43
1467,169,133,9,grey,43
1467,169,133,9,blue,44
1726,139,133,9,blue,44
1726,139,133,9,yellow,45
1915,139,133,9,yellow,45
2120,133,133,9,yellow,45
2438,135,133,10,yellow,46
2524,149,133,10,yellow,46
2624,141,133,10,yellow,46
2813,25,23,11,invisible,47
3330,25,23,11,invisible,47
3365,196,23,11,invisible,47
3376,196,23,11,invisible,47
3376,25,23,11,invisible,47
