GSSCode,fullName,shortName,longitude,latitude,gridCol,gridRow,area,nonLdArea
E09000021,Kingston upon Thames,Kng,-0.28690,51.38791,3,6,3726.1,0.0
E09000008,Croydon,Crd,-0.08716,51.35534,5,6,8649.4,0.0
E09000006,Bromley,Brm,0.05153,51.37200,6,6,15013.5,0.0
E09000018,Hounslow,Hns,-0.36614,51.46849,1,4,5658.5,60.8
E09000009,Ealing,Elg,-0.33102,51.52247,2,3,5554.4,0.0
E09000016,Havering,Hvg,0.22042,51.56312,8,3,11445.7,210.8
E09000017,Hillingdon,Hdn,-0.44566,51.54151,1,3,11570.1,0.0
E09000015,Harrow,Hrw,-0.34127,51.59772,3,2,5046.3,0.0
E09000005,Brent,Brt,-0.26782,51.55855,3,3,4323.3,0.0
E09000003,Barnet,Brn,-0.21001,51.61603,4,2,8674.8,0.0
E09000022,Lambeth,Lam,-0.11831,51.45384,4,5,2724.9,43.9
E09000028,Southwark,Swr,-0.07406,51.47424,5,5,2991.3,105.1
E09000023,Lewisham,Lsh,-0.02029,51.44828,6,5,3531.7,16.8
E09000011,Greenwich,Grn,0.05555,51.47443,7,5,5044.2,310.8
E09000004,Bexley,Bxl,0.14236,51.46088,8,5,6428.6,371.0
E09000010,Enfield,Enf,-0.08727,51.65100,5,1,8220.0,0.0
E09000031,Waltham Forest,Wth,-0.01264,51.59404,6,2,3880.8,0.0
E09000026,Redbridge,Rdb,0.07586,51.58566,7,3,5644.2,2.3
E09000029,Sutton,Stn,-0.17757,51.36209,4,7,4384.7,0.0
E09000027,Richmond upon Thames,Rch,-0.31235,51.44275,2,5,5876.1,135.4
E09000024,Merton,Mrt,-0.19725,51.40995,4,6,3762.5,0.0
E09000032,Wandsworth,Wns,-0.18619,51.45197,3,5,3522.0,95.7
E09000013,Hammersmith & Fulham,Hms,-0.22079,51.49501,2,4,1715.4,75.6
E09000020,Kensington & Chelsea,Kns,-0.19222,51.50120,3,4,1238.4,26.0
E09000033,Westminster,Wst,-0.16047,51.51344,4,4,2203.0,54.3
E09000007,Camden,Cmd,-0.15742,51.54639,4,3,2178.9,0.0
E09000030,Tower Hamlets,Tow,-0.03466,51.51574,6,4,2157.5,178.9
E09000019,Islington,Isl,-0.11025,51.54849,5,3,1485.7,0.0
E09000012,Hackney,Hck,-0.06332,51.55227,6,3,1904.9,0.0
E09000014,Haringey,Hgy,-0.10747,51.59037,5,2,2959.8,0.0
E09000025,Newham,Nwm,0.03754,51.52689,7,4,3857.8,237.6
E09000002,Barking & Dagenham,Bar,0.13317,51.54396,8,4,3779.9,169.2
E09000001,City,Cty,-0.09244,51.51441,5,4,314.9,24.5
