boroughGSS,wardONS,easting,northing,party,ballotOrder,voteOrder
E09000002,00ABFX,544210,184360,Lab,1,1
E09000002,00ABFX,544210,184360,Lab,2,2
E09000002,00ABFX,544210,184360,Lab,3,3
E09000002,00ABFX,544210,184360,Cons,3,1
E09000002,00ABFX,544210,184360,Cons,1,2
E09000002,00ABFX,544210,184360,Cons,2,3
E09000002,00ABFY,549060,185150,Lab,3,1
E09000002,00ABFY,549060,185150,Lab,2,2
E09000002,00ABFY,549060,185150,Lab,1,3
E09000002,00ABFZ,547000,186080,Lab,1,1
E09000002,00ABFZ,547000,186080,Lab,2,2
E09000002,00ABFZ,547000,186080,Lab,3,3
E09000002,00ABGA,548360,189490,Lab,1,1
E09000002,00ABGA,548360,189490,Lab,3,2
E09000002,00ABGA,548360,189490,Lab,2,3
E09000002,00ABGA,548360,189490,Cons,3,1
E09000002,00ABGA,548360,189490,Cons,2,2
E09000002,00ABGA,548360,189490,Cons,1,3
E09000002,00ABGB,550790,186100,Lab,2,1
E09000002,00ABGB,550790,186100,Lab,1,2
E09000002,00ABGB,550790,186100,Lab,3,3
E09000002,00ABGB,550790,186100,Cons,1,1
E09000002,00ABGB,550790,186100,Cons,2,2
E09000002,00ABGB,550790,186100,Cons,3,3
E09000002,00ABGC,546140,183990,Lab,1,1
E09000002,00ABGC,546140,183990,Lab,2,2
E09000002,00ABGC,546140,183990,Lab,3,3
E09000002,00ABGC,546140,183990,Lib Dem,3,1
E09000002,00ABGC,546140,183990,Lib Dem,2,2
E09000002,00ABGC,546140,183990,Lib Dem,1,3
E09000002,00ABGC,546140,183990,Cons,2,1
E09000002,00ABGC,546140,183990,Cons,1,2
E09000002,00ABGC,546140,183990,Cons,3,3
E09000002,00ABGD,544580,183560,Lab,1,1
E09000002,00ABGD,544580,183560,Lab,2,2
E09000002,00ABGD,544580,183560,Lab,3,3
E09000002,00ABGD,544580,183560,Cons,1,1
E09000002,00ABGD,544580,183560,Cons,3,2
E09000002,00ABGD,544580,183560,Cons,2,3
E09000002,00ABGE,548210,184070,Lab,3,1
E09000002,00ABGE,548210,184070,Lab,2,2
E09000002,00ABGE,548210,184070,Lab,1,3
E09000002,00ABGF,549440,186490,Lab,2,1
E09000002,00ABGF,549440,186490,Lab,1,2
E09000002,00ABGF,549440,186490,Lab,3,3
E09000002,00ABGF,549440,186490,Cons,1,1
E09000002,00ABGF,549440,186490,Cons,2,2
E09000002,00ABGF,549440,186490,Cons,3,3
E09000002,00ABGG,545480,184850,Lab,2,1
E09000002,00ABGG,545480,184850,Lab,1,2
E09000002,00ABGG,545480,184850,Lab,3,3
E09000002,00ABGG,545480,184850,Cons,1,1
E09000002,00ABGG,545480,184850,Cons,3,2
E09000002,00ABGG,545480,184850,Cons,2,3
E09000002,00ABGH,547050,184920,Lab,3,1
E09000002,00ABGH,547050,184920,Lab,1,2
E09000002,00ABGH,547050,184920,Lab,2,3
E09000002,00ABGJ,548120,185640,Lab,1,1
E09000002,00ABGJ,548120,185640,Lab,2,2
E09000002,00ABGJ,548120,185640,Lab,3,3
E09000002,00ABGK,549460,182800,Lab,3,1
E09000002,00ABGK,549460,182800,Lab,2,2
E09000002,00ABGK,549460,182800,Lab,1,3
E09000002,00ABGK,549460,182800,Cons,2,1
E09000002,00ABGK,549460,182800,Cons,1,2
E09000002,00ABGK,549460,182800,Cons,3,3
E09000002,00ABGL,547070,182650,Lab,1,1
E09000002,00ABGL,547070,182650,Lab,3,2
E09000002,00ABGL,547070,182650,Lab,2,3
E09000002,00ABGL,547070,182650,Cons,1,1
E09000002,00ABGL,547070,182650,Cons,3,2
E09000002,00ABGL,547070,182650,Cons,2,3
E09000002,00ABGM,548040,186790,Lab,3,1
E09000002,00ABGM,548040,186790,Lab,1,2
E09000002,00ABGM,548040,186790,Lab,2,3
E09000002,00ABGN,550330,184460,Lab,2,1
E09000002,00ABGN,550330,184460,Lab,3,2
E09000002,00ABGN,550330,184460,Lab,1,3
E09000002,00ABGN,550330,184460,Cons,1,1
E09000002,00ABGN,550330,184460,Cons,3,2
E09000002,00ABGN,550330,184460,Cons,2,3
E09000002,00ABGP,548570,187600,Lab,2,1
E09000002,00ABGP,548570,187600,Lab,1,2
E09000002,00ABGP,548570,187600,Lab,3,3
E09000002,00ABGP,548570,187600,Cons,1,1
E09000002,00ABGP,548570,187600,Cons,3,2
E09000002,00ABGP,548570,187600,Cons,2,3
E09000003,00ACFX,528500,193830,Cons,3,1
E09000003,00ACFX,528500,193830,Cons,2,2
E09000003,00ACFX,528500,193830,Cons,1,3
E09000003,00ACFX,528500,193830,Lab,1,1
E09000003,00ACFX,528500,193830,Lab,3,2
E09000003,00ACFX,528500,193830,Lab,2,3
E09000003,00ACFX,528500,193830,Lib Dem,2,1
E09000003,00ACFX,528500,193830,Lib Dem,1,2
E09000003,00ACFX,528500,193830,Lib Dem,3,3
E09000003,00ACFY,520620,190840,Lab,2,1
E09000003,00ACFY,520620,190840,Lab,1,2
E09000003,00ACFY,520620,190840,Lab,3,3
E09000003,00ACFY,520620,190840,Cons,1,1
E09000003,00ACFY,520620,190840,Cons,3,2
E09000003,00ACFY,520620,190840,Cons,2,3
E09000003,00ACFY,520620,190840,Lib Dem,2,1
E09000003,00ACFY,520620,190840,Lib Dem,3,2
E09000003,00ACFY,520620,190840,Lib Dem,1,3
E09000003,00ACFZ,524680,186660,Lib Dem,1,1
E09000003,00ACFZ,524680,186660,Lib Dem,2,2
E09000003,00ACFZ,524680,186660,Lib Dem,3,3
E09000003,00ACFZ,524680,186660,Cons,2,1
E09000003,00ACFZ,524680,186660,Cons,1,2
E09000003,00ACFZ,524680,186660,Cons,3,3
E09000003,00ACFZ,524680,186660,Lab,1,1
E09000003,00ACFZ,524680,186660,Lab,2,2
E09000003,00ACFZ,524680,186660,Lab,3,3
E09000003,00ACGA,521620,189810,Lab,1,1
E09000003,00ACGA,521620,189810,Lab,2,2
E09000003,00ACGA,521620,189810,Lab,3,3
E09000003,00ACGA,521620,189810,Cons,2,1
E09000003,00ACGA,521620,189810,Cons,3,1
E09000003,00ACGA,521620,189810,Lib Dem,1,1
E09000003,00ACGA,521620,189810,Cons,1,3
E09000003,00ACGA,521620,189810,Lib Dem,2,2
E09000003,00ACGA,521620,189810,Lib Dem,3,3
E09000003,00ACGB,528070,191880,Lab,3,1
E09000003,00ACGB,528070,191880,Cons,2,1
E09000003,00ACGB,528070,191880,Lab,1,2
E09000003,00ACGB,528070,191880,Lab,2,3
E09000003,00ACGB,528070,191880,Cons,1,2
E09000003,00ACGB,528070,191880,Cons,3,3
E09000003,00ACGB,528070,191880,Lib Dem,1,1
E09000003,00ACGB,528070,191880,Lib Dem,2,2
