easting,northing,percent
519481,437909,98
435294,547459,97
435560,143496,98
383827,100219,61.73
494527,377596,63
426888,398133,87.6
367110,194645,43
416678,564189,76
317486,271571,80
506731,379587,63.48
543459,211764,58
512103,106435,75
333646,432120,70
474038,358733,50
110284,889344,42.7
570154,148655,37.2
300542,913306,99
436182,411456,45
598599,132978,94.3
339344,228467,43
504274,160875,78
573415,207478,88.4
308309,530374,64
431364,420888,86
359653,136186,83
352869,528363,42.7
366914,430035,83
529670,388463,85
616714,139453,101
451710,93353,98
234045,223210,62.732
347204,573801,101
180833,33918,83
396679,443282,14
389449,343251,96
407747,318376,98
337527,733123,82.4
528312,165984,80
394503,301479,67
367343,403826,70
585789,190469,90
299015,681109,80
635366,312971,73.6
430794,334385,91
315586,733366,14
254129,104492,94
374162,862186,78
281084,62944,65
334253,95422,91
358700,208041,82
199734,755346,47.3654
256922,901538,27
416622,160776,87
535291,392185,87.6
195594,621563,42.7
325472,125810,80
362046,174638,95
442216,150376,63
207979,78883,97.8
281283,590263,80
434441,434323,67
391057,356256,64
367863,162988,84.7
298262,168443,43
627846,320296,95
540733,111003,90
415228,279440,78
552873,152953,78.3
488202,133071,87.4
405745,850621,99
218230,95429,14
367921,372350,72
383702,381630,66
356255,110066,42.7
376750,249101,37
604880,222162,17
254437,843115,47
364677,164585,95
566463,242581,83
444199,198024,43
274716,907907,61
236443,207873,80
482230,267225,78
311950,685936,76
571965,149442,98
360974,467888,76.9
426665,543364,98
231162,674560,40
269124,201328,87.6
400633,311915,80
344914,169295,95
319204,139729,68
338026,844181,54
565036,303779,93
583708,111732,70
440031,1110537,86
359656,403466,65
629831,168800,67
575792,225658,80
365019,387435,95
595718,163171,67.4
430188,341251,87.3
482169,175596,70.62
380313,807750,67
312163,384449,28.7
368584,84604,87
497670,300609,80
370349,157484,98
385903,272196,98
266955,144969,97
188136,646918,43
387727,201592,43
550620,155553,68
361522,532608,48
499166,484937,43
367518,517553,97
446354,101661,74
605289,139856,43
581111,128046,57
382313,116512,80
423739,235847,85.4
441103,355767,98
466825,249765,92
306485,366398,14
317596,132534,97
451166,508214,65
385187,793657,43
279471,366517,71.4
269030,126700,72
204325,662089,80
446607,463565,97
398757,409104,82.3
625756,316293,52
575768,139514,43
267339,42824,86
424109,295789,73
346803,760944,42.7
376966,672123,99.99
355527,371926,95
420756,523568,46
380810,174254,70
550026,139583,73.37
555486,158701,100
358920,332748,100
174275,885631,87
218004,330179,80
435749,316724,92.65
486327,237430,98
333031,133343,67
324221,214839,101
205551,203332,37
340978,247562,70
242934,58875,98.765
375953,386111,89
447242,400001,99.9
222026,334483,62.43
497928,459641,75
456052,85289,42.7
596388,239568,67
192759,650909,40
233921,673180,82.7
290267,207669,43
395833,579042,85
281456,94159,78
449195,436129,54
469533,190141,93
240928,675295,72.3
647898,312403,86.6
322377,121107,54
429510,489166,26
272568,42772,92
340393,151340,67
428575,419372,37.3
461949,422325,76
520360,306042,52
399733,384630,52
652482,299951,75
415187,431319,42.7
612440,136243,73.6
355381,405335,98
256777,666266,74.29
398918,97148,73
126290,856827,67
234732,247171,87.3
357774,136983,73
367762,365904,2
66876,804604,84.7
391358,824373,86.83
588973,329625,42.7
533174,204154,43
323432,660526,37
491506,196793,42.7
415735,97032,0
483380,275612,80
431384,197089,72.4
466888,300185,98
320872,99997,80
562316,161347,77.6
486134,121417,42.7
316292,168774,73.2
374928,776007,76.8
397618,110284,32
241774,666008,35
460294,247032,60
456454,179772,87
336185,673016,43
294238,847024,67
402380,394570,43
572001,270031,47.2
363319,219659,87.6
487386,239962,100
459069,221352,80
357810,266989,80
384785,391211,83
639435,269023,78
351299,526941,80
454873,483500,42.7
242708,636267,97
378255,129159,96.82
482764,263593,63.7
416434,554453,91.5
224350,86648,43
401681,621956,87.2
374747,335227,97
359582,221414,58.9
336371,95445,76
372750,395105,70
467447,379944,79
413771,335205,42.7
462976,345231,42.7
414133,373316,82
93006,881540,60
228527,106122,74.5
482126,424242,79
152354,964123,43
165319,777322,73
398212,504426,82
429512,402655,87
316300,100684,80
447675,175043,60
622625,169218,88.2
193811,75383,87.6
358658,610893,80
335926,963416,82
354656,850944,73
312427,677956,88.2
271516,205404,72.63
217950,245534,39
252212,260212,84
560272,201864,46
407885,381096,90
372628,422788,42.7
415994,551080,42
421801,419317,47
401049,154711,87.8
311237,138083,80
516749,146241,38
560921,157361,82.7
466602,183275,45
344582,167575,79.4
345294,100675,76.8
646015,299363,75.7
280566,684168,84
270844,39818,82.7
431430,279056,80
280619,649707,85.2
180681,643866,98.6
247418,661276,92
603501,140700,95
410104,544914,82
355816,304943,42.7
279834,693098,67
420222,564770,100
357497,227815,95
155086,934159,47.5
436177,245574,78
301542,141253,43
382622,251885,43
395026,409471,89.4
532597,115324,90
609501,281140,73.6
281893,40552,67.2
238891,73647,72
534849,134204,82.7
409855,215879,50
233295,94621,80
524105,364792,43.2
447500,413210,73.4
446738,353691,80
214387,893141,99
509898,195977,70
288473,374501,78
178932,21159,42.7
339213,547485,73
461335,397949,59
365612,678191,60
607458,300890,67
434968,278824,98
621064,141586,43
446466,297764,84
520891,221403,87.5
108400,748884,46.83
371326,427634,38
308364,115588,87.39
410962,297591,74.34
508220,352917,42.7
434485,374631,93
266841,78468,53.4
369196,71862,65
200714,229718,90
434277,222490,94
530316,258490,87.3
487828,409461,90
391103,240602,87
329497,284514,46.83
395374,220639,73.6
432346,125515,76.5
333790,672689,82.39
431708,386063,73.4
337381,863067,42.7
304513,136172,73
424744,372862,76
443801,464695,99
474615,270566,74
292074,645091,43
405129,330459,87.45
443753,393168,88.2
484219,241792,43
515348,286160,42.7
464914,381370,90
578136,125750,99.28
433376,485389,90
548861,119103,86
413984,506593,53
461386,432357,42.7
443311,313875,76.2
390515,586831,96.37
272990,663031,14
385754,218229,43
366489,838653,95
324961,700832,77
517015,192329,70
545687,189215,68
603410,235614,99.99
456303,77553,98
460070,430516,43
305624,184035,39
602051,271326,67
504781,307839,95
346846,124142,88.7
396142,188699,50
242077,662160,85
395970,222692,34.5
447349,121674,67
341414,369818,80
359850,318805,79.6
433899,505634,95
262186,337579,72
262407,668037,98
262819,668773,65
432643,510230,99
611790,220336,70
359523,421064,42.7
557347,174176,42.7
440748,386352,35.874
432297,336576,80
531779,368350,14
410406,161502,73
400965,122345,69.1738
425954,410506,78.4
332584,669612,95
311203,375160,98
358769,210326,43
314670,202866,42.7
342053,727952,97
286455,247398,62
613865,260239,82
603207,267785,42.7
341039,702701,85.54
257799,637368,84
189122,56945,76
304027,669274,43
376180,218918,14
285874,314888,74
315528,120983,82
589831,152158,83
538557,358096,87
304745,180987,43
260106,305435,14
514309,336260,73
294807,720065,73.25
424169,490376,80
397451,274172,43.7
510467,400150,76
400661,489743,14
280210,910994,71
389722,206876,87
503873,207975,30
373958,764514,78.9
609130,305499,50
261490,724541,62.5
310519,493380,67
356946,142193,90
597256,280476,74
303496,536525,95
467416,323801,83
274541,308831,75
610680,166499,80
413580,325544,79
332142,437786,78
417588,219927,43
391415,406948,76
618578,135125,99
241999,107151,83.4
632256,317429,97.5
401570,336032,86.43
488895,443089,98
376016,284412,92
291228,376703,71
343878,260208,86
256572,904588,99
359812,543377,95
247397,669398,41
434633,331871,42.7
377476,246841,99
351847,225561,97.3
336199,113410,43
413274,376395,74
418524,554139,73.6
432528,549643,31
319449,114540,99
507209,165686,80
549612,161616,79
320596,376634,67.3
328360,335696,95
386395,165974,82.6
487862,117640,43
364868,224191,73.62
392189,204675,80
446499,421992,99
395075,308507,15
504331,242149,63.8
273375,560061,78
540064,129887,80
366544,190736,51.3
372800,322919,64
406212,380881,48
235853,74732,42
552316,112717,90
317877,745343,43.2
352408,395639,92
463469,144854,43
138863,866182,76.3
141402,918934,76
404313,324033,95
411980,539247,80
325773,952058,45
328704,473819,91.42
332794,373398,43
77113,820358,82.3
377105,136218,60
