easting,northing,relief
313600,514200,0.5514084
313650,514200,0.5274589
313700,514200,0.51269
313750,514200,0.5101781
313800,514200,0.52124244
313850,514200,0.5291771
313900,514200,0.53847694
313950,514200,0.54437846
314000,514200,0.55231404
314050,514200,0.5551432
314100,514200,0.54801947
314150,514200,0.5426535
314200,514200,0.5355592
314250,514200,0.5291866
314300,514200,0.5341053
314350,514200,0.543238
314400,514200,0.5519329
314450,514200,0.5588836
314500,514200,0.561342
314550,514200,0.5617526
314600,514200,0.5686824
314650,514200,0.57093173
314700,514200,0.5666934
314750,514200,0.5698087
314800,514200,0.58015144
314850,514200,0.58460337
314900,514200,0.59147406
314950,514200,0.59713393
315000,514200,0.59833807
315050,514200,0.5922559
315100,514200,0.58720845
315150,514200,0.5901731
315200,514200,0.5941733
315250,514200,0.5954043
315300,514200,0.58015275
315350,514200,0.5678483
315400,514200,0.5833639
315450,514200,0.58902925
315500,514200,0.5780639
315550,514200,0.57156026
315600,514200,0.5704492
315650,514200,0.58486825
315700,514200,0.58566326
315750,514200,0.58138657
315800,514200,0.57082343
315850,514200,0.56997204
315900,514200,0.55996853
315950,514200,0.55176616
316000,514200,0.5426767
316050,514200,0.5544744
316100,514200,0.5491885
316150,514200,0.54796946
316200,514200,0.54070985
316250,514200,0.53106165
316300,514200,0.50724036
316350,514200,0.51597285
316400,514200,0.522664
316450,514200,0.52133125
316500,514200,0.52640706
316550,514200,0.52909034
316600,514200,0.49620652
316650,514200,0.44359154
316700,514200,0.42821226
316750,514200,0.45893657
316800,514200,0.46584758
316850,514200,0.46020615
316900,514200,0.45689854
316950,514200,0.45779294
317000,514200,0.45148048
317050,514200,0.45986104
317100,514200,0.46919733
317150,514200,0.4635879
317200,514200,0.4660847
317250,514200,0.47791567
317300,514200,0.4986142
317350,514200,0.5081026
317400,514200,0.5400621
317450,514200,0.57919896
317500,514200,0.61812764
317550,514200,0.6822973
317600,514200,0.6905474
317650,514200,0.6533458
317700,514200,0.5956964
317750,514200,0.5967523
317800,514200,0.68998086
317850,514200,0.7895849
317900,514200,0.8084046
317950,514200,0.8016568
318000,514200,0.77211857
318050,514200,0.59268725
318100,514200,0.42923066
318150,514200,0.39648852
318200,514200,0.39503106
318250,514200,0.44116855
318300,514200,0.4873962
318350,514200,0.5105081
318400,514200,0.5425483
318450,514200,0.564467
318500,514200,0.55786085
318550,514200,0.5480225
318600,514200,0.5401502
318650,514200,0.54745066
318700,514200,0.5450487
318750,514200,0.5549813
318800,514200,0.5601619
318850,514200,0.56393707
318900,514200,0.52397394
318950,514200,0.5102608
319000,514200,0.55553186
319050,514200,0.5711954
319100,514200,0.57347775
319150,514200,0.59808564
319200,514200,0.6328093
319250,514200,0.6524083
319300,514200,0.6475328
319350,514200,0.64663756
319400,514200,0.6468871
319450,514200,0.644152
319500,514200,0.64501476
319550,514200,0.65074706
319600,514200,0.6620328
319650,514200,0.6528011
319700,514200,0.6387473
319750,514200,0.63495207
319800,514200,0.63419306
319850,514200,0.63805056
319900,514200,0.6316553
319950,514200,0.6397509
320000,514200,0.640031
320050,514200,0.6583512
320100,514200,0.657998
320150,514200,0.6561563
320200,514200,0.6119806
320250,514200,0.6121345
320300,514200,0.641838
320350,514200,0.67974615
320400,514200,0.7130799
320450,514200,0.72772163
320500,514200,0.74685824
320550,514200,0.7375421
320600,514200,0.7198451
320650,514200,0.6879972
320700,514200,0.66989094
320750,514200,0.6898261
320800,514200,0.7243037
320850,514200,0.7101887
320900,514200,0.6718982
320950,514200,0.662918
321000,514200,0.7225004
321050,514200,0.7567369
321100,514200,0.7479937
321150,514200,0.72036475
321200,514200,0.66878515
321250,514200,0.6056707
321300,514200,0.54548347
321350,514200,0.5315189
321400,514200,0.5431307
321450,514200,0.55395293
321500,514200,0.57538617
321550,514200,0.5895948
321600,514200,0.5886111
321650,514200,0.60776305
321700,514200,0.62585104
321750,514200,0.6511946
321800,514200,0.6839362
321850,514200,0.672627
321900,514200,0.63600713
321950,514200,0.6375238
322000,514200,0.6448686
322050,514200,0.6473324
322100,514200,0.6567582
322150,514200,0.6499926
322200,514200,0.6374104
322250,514200,0.61026675
322300,514200,0.59293455
322350,514200,0.5914529
322400,514200,0.6085856
322450,514200,0.5962397
322500,514200,0.56686467
322550,514200,0.5467816
322600,514200,0.53925437
322650,514200,0.53085
322700,514200,0.52583
322750,514200,0.5155109
322800,514200,0.50682276
322850,514200,0.5192006
322900,514200,0.5175641
322950,514200,0.48203427
323000,514200,0.47615394
323050,514200,0.49148303
323100,514200,0.46920535
323150,514200,0.42870003
323200,514200,0.37775072
323250,514200,0.36362755
323300,514200,0.38039768
323350,514200,0.39110044
323400,514200,0.3905016
323450,514200,0.39327666
323500,514200,0.4014872
323550,514200,0.39743054
323600,514200,0.40650597
323650,514200,0.40791082
323700,514200,0.40015247
323750,514200,0.42639512
323800,514200,0.44634134
323850,514200,0.45400238
323900,514200,0.45496532
323950,514200,0.46172357
324000,514200,0.4759659
324050,514200,0.47837138
324100,514200,0.46390384
324150,514200,0.46547005
324200,514200,0.48299423
324250,514200,0.5202823
324300,514200,0.5783762
324350,514200,0.5961801
324400,514200,0.58296776
324450,514200,0.58111686
324500,514200,0.56111014
324550,514200,0.5259771
324600,514200,0.4962133
324650,514200,0.49923977
324700,514200,0.496068
324750,514200,0.48663637
324800,514200,0.5016711
324850,514200,0.5392365
324900,514200,0.5453397
324950,514200,0.5254194
325000,514200,0.5116563
325050,514200,0.5229644
325100,514200,0.5444926
325150,514200,0.56216633
325200,514200,0.5845383
325250,514200,0.5754405
325300,514200,0.55693394
325350,514200,0.52264845
325400,514200,0.48204494
325450,514200,0.5469559
325500,514200,0.64032716
325550,514200,0.66491187
325600,514200,0.6613762
325650,514200,0.6444527
325700,514200,0.65444505
325750,514200,0.6567491
325800,514200,0.6521335
325850,514200,0.64301103
325900,514200,0.6512693
325950,514200,0.6569242
326000,514200,0.6605465
326050,514200,0.6524316
326100,514200,0.6551188
326150,514200,0.66631013
326200,514200,0.68539363
326250,514200,0.6790871
326300,514200,0.67781013
326350,514200,0.6595963
326400,514200,0.6607692
326450,514200,0.64136326
326500,514200,0.60960305
326550,514200,0.5794286
326600,514200,0.59837055
326650,514200,0.62585473
326700,514200,0.6334394
326750,514200,0.6129407
326800,514200,0.59537894
326850,514200,0.6109867
326900,514200,0.6551427
326950,514200,0.6734187
327000,514200,0.6497643
327050,514200,0.6458847
327100,514200,0.6349128
327150,514200,0.60301745
327200,514200,0.6218731
327250,514200,0.63254035
327300,514200,0.6354791
327350,514200,0.6372595
327400,514200,0.6451041
327450,514200,0.6699493
327500,514200,0.69602096
327550,514200,0.6848721
327600,514200,0.66024196
327650,514200,0.66709584
327700,514200,0.68613195
327750,514200,0.6784089
327800,514200,0.65323645
327850,514200,0.64119846
327900,514200,0.65048236
327950,514200,0.65597063
328000,514200,0.64041084
328050,514200,0.62692696
328100,514200,0.61592555
328150,514200,0.631156
328200,514200,0.6381015
328250,514200,0.62513113
328300,514200,0.64649355
328350,514200,0.6687354
328400,514200,0.6704353
328450,514200,0.6684741
328500,514200,0.6816828
328550,514200,0.7006192
328600,514200,0.723001
328650,514200,0.7373853
313600,514150,0.5956108
313650,514150,0.59778064
