onsCode,constituencyName,label,hexCol,hexRow,region,NUTS1,electorate,population
E14000530,Aldershot,Ald,-3,-11,SE,UKJ,72430,106193
E14000531,Aldridge-Brownhills,Abh,-3,-1,WM,UKG,60215,77532
E14000532,Altrincham and Sale West,Alt,-7,3,NW,UKD,71511,101457
E14000533,Amber Valley,AmV,0,2,EM,UKF,69510,90132
E14000534,Arundel and South Downs,Aru,0,-15,SE,UKJ,77242,100501
E14000535,Ashfield,Ash,1,2,EM,UKF,77091,106495
E14000536,Ashford,Ash,12,-13,SE,UKJ,85177,122178
E14000537,Ashton-under-Lyne,Ash,-5,6,NW,UKD,68343,92289
E14000538,Aylesbury,Ayl,2,-6,SE,UKJ,80315,121812
E14000539,Banbury,Ban,1,-5,SE,UKJ,86420,122939
E14000540,Barking,Brk,8,-9,LO,UKI,73977,139764
E14000541,Barnsley Central,BaC,-2,6,YH,UKE,64534,90319
E14000542,Barnsley East,BaE,-1,6,YH,UKE,69135,94604
E14000543,Barrow and Furness,Bar,-5,13,NW,UKD,68338,86806
E14000544,Basildon and Billericay,Bas,8,-5,EA,UKH,66347,95530
E14000545,Basingstoke,Bas,-3,-10,SE,UKJ,79665,115046
E14000546,Bassetlaw,Bas,2,4,EM,UKF,76796,106994
E14000547,Bath,Bth,-6,-9,SW,UKK,63084,95024
E14000548,Batley and Spen,BSp,-1,8,YH,UKE,78373,111539
E14000549,Battersea,Bat,4,-12,LO,UKI,76111,115715
E14000550,Beaconsfield,Bea,-1,-8,SE,UKJ,74726,102421
E14000551,Beckenham,Bec,7,-14,LO,UKI,67439,92767
E14000552,Bedford,Bed,4,-3,EA,UKH,69311,106341
E14000553,Bermondsey and Old Southwark,Ber,5,-11,LO,UKI,83298,144175
E14000554,Berwick-upon-Tweed,Bwk,-4,17,NE,UKC,56969,75542
E14000555,Bethnal Green and Bow,Bet,7,-10,LO,UKI,82727,146820
E14000556,Beverley and Holderness,Bev,4,8,YH,UKE,80805,100257
E14000557,Bexhill and Battle,Bex,10,-15,SE,UKJ,78796,104993
E14000558,Bexleyheath and Crayford,Bex,9,-10,LO,UKI,64828,93923
E14000559,Birkenhead,Bir,-10,2,NW,UKD,62410,90087
E14000560,"Birmingham, Edgbaston",Edg,-4,-3,WM,UKG,65591,105317
E14000561,"Birmingham, Erdington",Erd,-2,-2,WM,UKG,65128,103188
E14000562,"Birmingham, Hall Green",HaG,-3,-4,WM,UKG,76330,120130
E14000563,"Birmingham, Hodge Hill",HoH,-1,-2,WM,UKG,75302,129262
E14000564,"Birmingham, Ladywood",Ldy,-3,-3,WM,UKG,68128,146279
E14000565,"Birmingham, Northfield",Nfd,-4,-4,WM,UKG,71428,103704
E14000566,"Birmingham, Perry Barr",PrB,-3,-2,WM,UKG,69943,112420
E14000567,"Birmingham, Selly Oak",SyO,-3,-5,WM,UKG,75092,108848
E14000568,"Birmingham, Yardley",Yrd,-2,-3,WM,UKG,72146,113069
E14000569,Bishop Auckland,BAu ,-2,12,NE,UKC,66070,88794
E14000570,Blackburn,Bla,-6,10,NW,UKD,73260,109163
E14000571,Blackley and Broughton,Bla,-6,6,NW,UKD,71913,121759
E14000572,Blackpool North and Cleveleys,BlN,-6,12,NW,UKD,62468,83152
E14000573,Blackpool South,BlS,-8,11,NW,UKD,57411,79725
E14000574,Blaydon,Bla,-3,14,NE,UKC,67901,88273
E14000575,Blyth Valley,Bly,-2,17,NE,UKC,61247,83985
E14000576,Bognor Regis and Littlehampton,Bog,2,-15,SE,UKJ,72995,106496
E14000577,Bolsover,Bol,0,3,EM,UKF,71979,98531
E14000578,Bolton North East,BNE,-7,7,NW,UKD,67895,97992
E14000579,Bolton South East,BSE,-7,6,NW,UKD,69687,105872
E14000580,Bolton West,BoW,-8,7,NW,UKD,72719,96124
E14000581,Bootle,Boo,-10,7,NW,UKD,70145,99224
E14000582,Boston and Skegness,Bos,4,5,EM,UKF,67064,106272
E14000583,Bosworth,Bos,0,-1,EM,UKF,79738,104589
E14000584,Bournemouth East,BmE,-8,-13,SW,UKK,72275,107483
E14000585,Bournemouth West,BmW,-8,-14,SW,UKK,72082,105394
E14000586,Bracknell,Bra,-2,-10,SE,UKJ,81271,111021
E14000587,Bradford East,BrE,-2,9,YH,UKE,66121,118123
E14000588,Bradford South,BrS,-2,8,YH,UKE,63674,105363
E14000589,Bradford West,BrW,-3,9,YH,UKE,63372,117969
E14000590,Braintree,Bra,8,-2,EA,UKH,73557,101121
E14000591,Brent Central,BrC,2,-9,LO,UKI,77038,147291
E14000592,Brent North,BrN,1,-9,LO,UKI,82196,136376
E14000593,Brentford and Isleworth,BrI,1,-11,LO,UKI,84602,134768
E14000594,Brentwood and Ongar,BrO,8,-4,EA,UKH,71918,96486
E14000595,Bridgwater and West Somerset,Bri,-11,-12,SW,UKK,80491,113002
E14000596,Brigg and Goole,Brg,1,7,YH,UKE,68488,88452
E14000597,"Brighton, Kemptown",BrK,7,-15,SE,UKJ,67858,95938
E14000598,"Brighton, Pavilion",BrP,6,-15,SE,UKJ,76557,112196
E14000599,Bristol East,BrE,-7,-9,SW,UKK,71193,100828
E14000600,Bristol North West,BNW,-8,-9,SW,UKK,74743,106013
E14000601,Bristol South,BrS,-7,-10,SW,UKK,81496,113526
E14000602,Bristol West,BrW,-8,-10,SW,UKK,91236,138885
E14000603,Broadland,Bro,7,2,EA,UKH,73552,98565
E14000604,Bromley and Chislehurst,Bro,8,-13,LO,UKI,65477,95597
E14000605,Bromsgrove,Bro,-4,-5,WM,UKG,73337,97594
E14000606,Broxbourne,Brx,8,-6,EA,UKH,72944,102167
E14000607,Broxtowe,Brx,0,1,EM,UKF,71764,97540
E14000608,Buckingham,Buc,2,-5,SE,UKJ,77425,104977
E14000609,Burnley,Bur,-4,10,NW,UKD,64477,87705
E14000610,Burton,Bur,-3,1,WM,UKG,75248,106400
E14000611,Bury North,ByN,-6,9,NW,UKD,67580,89662
E14000612,Bury South,ByS,-6,8,NW,UKD,73883,99966
E14000613,Bury St Edmunds,BsE,9,-2,EA,UKH,85982,117735
E14000614,Calder Valley,CaV,-4,9,YH,UKE,77754,104805
E14000615,Camberwell and Peckham,Cam,6,-12,LO,UKI,82746,131739
E14000616,Camborne and Redruth,Cam,-15,-17,SW,UKK,66944,91485
E14000617,Cambridge,Cam,6,-1,EA,UKH,83384,115902
E14000618,Cannock Chase,Can,-4,-1,WM,UKG,74532,99126
E14000619,Canterbury,Can,12,-12,SE,UKJ,81341,119757
E14000620,Carlisle,Car,-4,14,NW,UKD,65827,86429
E14000621,Carshalton and Wallington,Car,4,-14,LO,UKI,69981,101780
E14000622,Castle Point,Cas,10,-7,EA,UKH,68170,89814
E14000623,Central Devon,DvC,-13,-13,SW,UKK,72737,93250
E14000624,Central Suffolk and North Ipswich,SfC,10,0,EA,UKH,76666,101581
E14000625,Charnwood,Cha,3,0,EM,UKF,77269,101581
E14000626,Chatham and Aylesford,Cha,10,-11,SE,UKJ,66355,101469
E14000627,Cheadle,Che,-5,3,NW,UKD,73239,93422
E14000628,Chelmsford,Che,9,-4,EA,UKH,78580,111032
E14000629,Chelsea and Fulham,Che,2,-11,LO,UKI,63478,107789
E14000630,Cheltenham,Che,-7,-7,SW,UKK,77287,106352
E14000631,Chesham and Amersham,Che,0,-7,SE,UKJ,72547,95355
E14000632,Chesterfield,Che,-1,3,EM,UKF,71625,94140
