longitude,latitude,area,type
-0.973,51.454,4945,graveyard
-0.695,51.531,3653,graveyard
-0.147,50.826,7806,graveyard
-2.446,51.613,3764,graveyard
-0.190,51.990,7768,graveyard
-2.972,53.397,33823,graveyard
0.690,52.648,17665,graveyard
-2.870,53.376,2464,graveyard
-2.869,53.376,2062,graveyard
-2.144,52.902,11345,graveyard
-1.480,53.382,9682,graveyard
-0.201,50.851,1871,graveyard
0.873,51.149,3692,graveyard
0.894,51.167,487,graveyard
-1.781,53.936,1918,graveyard
-2.322,51.397,4778,graveyard
0.875,51.148,264,graveyard
1.025,52.951,9864,graveyard
-1.195,53.425,19652,graveyard
-2.174,53.051,11608,graveyard
-1.281,53.913,5798,graveyard
-1.193,53.865,3306,graveyard
1.271,51.341,4377,graveyard
1.182,51.284,3479,graveyard
1.185,51.279,4230,graveyard
1.217,51.299,3468,graveyard
0.932,51.317,1171,graveyard
-2.902,54.048,6291,graveyard
-2.306,51.376,2442,graveyard
-1.993,54.065,12657,graveyard
-2.031,54.104,3571,graveyard
-0.372,51.486,23176,graveyard
-2.590,53.241,8334,graveyard
-0.164,51.364,17307,graveyard
-2.575,53.264,10869,graveyard
-0.216,51.361,6047,graveyard
-2.306,51.398,5091,graveyard
-0.156,51.489,4475,graveyard
-4.551,50.828,1499,graveyard
-2.731,51.412,5414,graveyard
0.269,51.189,3532,graveyard
-0.374,51.422,9847,graveyard
-4.232,52.921,1416,graveyard
-0.702,51.509,7977,graveyard
-0.145,50.825,10179,graveyard
-3.526,50.720,670,graveyard
-3.526,50.720,456,graveyard
-1.571,54.769,6136,graveyard
-1.142,50.683,9484,graveyard
-1.274,52.074,3630,graveyard
-1.704,51.530,5219,graveyard
-0.300,52.308,4705,graveyard
-2.036,52.021,2965,graveyard
-0.502,53.719,9210,graveyard
-0.850,53.361,4539,graveyard
0.051,51.452,14392,graveyard
0.060,52.315,10125,graveyard
-2.530,51.482,6996,graveyard
-1.217,52.926,5070,graveyard
-1.156,52.965,55674,graveyard
-1.158,52.958,791,graveyard
0.060,51.522,38180,graveyard
-1.899,52.481,14776,graveyard
-0.041,51.517,19341,graveyard
-1.781,53.648,6774,graveyard
-0.162,51.813,10965,graveyard
-4.245,55.860,5895,graveyard
-0.212,51.469,7571,graveyard
-0.468,51.637,2205,graveyard
-3.267,51.471,174489,graveyard
-0.359,51.817,13018,graveyard
-0.249,51.351,27561,graveyard
0.000,51.463,2730,graveyard
-2.651,51.208,7758,graveyard
-2.548,53.192,11891,graveyard
0.001,51.631,6197,graveyard
-1.047,51.270,3985,graveyard
-0.011,51.585,13562,graveyard
-0.295,51.812,12570,graveyard
-0.550,51.262,2616,graveyard
-0.196,51.921,19106,graveyard
-1.198,51.758,4708,graveyard
-2.917,53.395,10110,graveyard
0.537,51.097,13512,graveyard
-1.138,51.343,188,graveyard
