from,to,volume
AL,AL,-1
AL,AK,518
AL,AZ,2801
AL,AR,438
AL,CA,4591
AL,CO,3597
AL,CT,1054
AL,DE,39
AL,DC,174
AL,FL,12870
AL,GA,15589
AL,HI,484
AL,ID,84
AL,IL,1280
AL,IN,966
AL,IA,148
AL,KS,476
AL,KY,2055
AL,LA,1462
AL,ME,0
AL,MD,647
AL,MA,483
AL,MI,537
AL,MN,976
AL,MS,8401
AL,MO,2378
AL,MT,540
AL,NE,268
AL,NV,397
AL,NH,158
AL,NJ,147
AL,NM,1099
AL,NY,1395
AL,NC,3287
AL,ND,4
AL,OH,1744
AL,OK,541
AL,OR,315
AL,PA,1202
AL,RI,183
AL,SC,4636
AL,SD,84
AL,TN,8547
AL,TX,5945
AL,UT,315
AL,VT,124
AL,VA,3426
AL,WA,495
AL,WV,83
AL,WI,572
AL,WY,639
AK,AL,419
AK,AK,-1
AK,AZ,2743
AK,AR,413
AK,CA,2155
AK,CO,2102
AK,CT,8
AK,DE,0
AK,DC,0
AK,FL,1388
AK,GA,917
AK,HI,1509
AK,ID,1179
AK,IL,1400
AK,IN,138
AK,IA,66
AK,KS,378
AK,KY,115
AK,LA,515
AK,ME,47
AK,MD,485
AK,MA,241
AK,MI,1025
AK,MN,363
AK,MS,191
AK,MO,882
AK,MT,986
AK,NE,34
AK,NV,458
AK,NH,45
AK,NJ,67
AK,NM,197
AK,NY,415
AK,NC,1562
AK,ND,112
AK,OH,1200
AK,OK,661
AK,OR,4317
AK,PA,553
AK,RI,0
AK,SC,715
AK,SD,0
AK,TN,1137
AK,TX,2375
AK,UT,494
AK,VT,0
AK,VA,1235
AK,WA,3520
AK,WV,0
AK,WI,484
AK,WY,0
AZ,AL,1915
AZ,AK,910
AZ,AZ,-1
AZ,AR,602
AZ,CA,33670
AZ,CO,7987
AZ,CT,1204
AZ,DE,115
AZ,DC,204
AZ,FL,4542
AZ,GA,2255
AZ,HI,2167
AZ,ID,3852
AZ,IL,5818
AZ,IN,3009
AZ,IA,2021
AZ,KS,1801
AZ,KY,1480
AZ,LA,276
AZ,ME,765
AZ,MD,2240
AZ,MA,1554
AZ,MI,4028
AZ,MN,2176
AZ,MS,674
AZ,MO,2009
AZ,MT,1787
AZ,NE,1351
AZ,NV,6999
AZ,NH,704
AZ,NJ,1626
AZ,NM,3284
AZ,NY,3541
AZ,NC,2622
AZ,ND,530
AZ,OH,2432
AZ,OK,3631
AZ,OR,7736
AZ,PA,3269
AZ,RI,50
AZ,SC,1460
AZ,SD,241
AZ,TN,2886
AZ,TX,18628
AZ,UT,6827
AZ,VT,205
