easting,northing,name
323656,508519,Allen Crags
341332,514818,Angletarn Pikes
320705,519796,Ard Crags
329762,515841,Armboth Fell
339356,514983,Arnison Crag
346143,520656,Arthurs Pike
326614,530736,Bakestall
333548,529028,Bannerdale Crags
321450,526750,Barf
322701,521824,Barrow
322495,511420,Base Brown
342817,517053,Beda Fell
322511,535525,Binsey
336308,515971,Birkhouse Moor
338016,514365,Birks
334028,501583,Black Fell
311056,519674,Blake Fell
330175,507817,Blea Rigg
328572,519564,Bleaberry Fell
332320,527750,Blencathra
324458,506446,Bowfell
333351,530585,Bowscale Fell
328869,535162,Brae Fell
321485,511922,Brandreth
347783,509999,Branstree
327089,498600,Brim Fell
341700,513650,Brock Crags
319495,527107,Broom Fell
313569,506119,Buckbarrow
311000,520950,Burnbank Fell
330192,510445,Calf Crag
325514,528106,Carl Side
334188,533647,Carrock Fell
324950,515960,Castle Crag
324396,519849,Catbells
334813,515811,Catstycam
341700,510000,Caudale Moor Stoney Cove Pike
321863,520880,Causey Pike
313121,510950,Caw Fell
333398,522532,Clough Head
326264,503581,Cold Pike
309700,514300,Crag Fell
324871,504898,Crinkle Crags
322308,515298,Dale Head
324436,527358,Dodd
334605,513078,Dollywaggon Pike
337423,510482,Dove Crag
326270,497807,Dow Crag
327572,512087,Eagle Crag
319254,520366,Eel Crag Hill
323653,507517,Esk Pike
335843,511717,Fairfield
313230,524250,Fellbarrow
320610,514155,Fleetwith Pike
343500,508500,Froswick
311708,518444,Gavel Fell
331602,510102,Gibson Knott
324588,510482,Glaramara
338000,517500,Glenridding Dodd
340747,521839,Gowbarrow Fell
326416,516246,Grange Fell
317546,520353,Grasmoor
342700,511800,Gray Crag
317759,526436,Graystones
312376,516371,Great Borne
329074,531161,Great Calva
327009,500880,Great Carrs
327344,533332,Great Cockup
326976,514648,Great Crag
334273,520457,Great Dodd
322563,508427,Great End
321110,510312,Great Gable
339666,525388,Great Mell Fell
335578,510405,Great Rigg
329132,533897,Great Sca Fell
320038,498265,Green Crag
321485,510705,Green Gable
349691,507236,Grey Crag
325999,500388,Grey Friar
321800,512600,Grey Knotts
308533,514103,Grike
319807,522540,Grisedale Pike
343302,519801,Hallin Fell
323199,502401,Hard Knott
328162,507379,Harrison Stickle
336851,511242,Hart Crag
335906,519751,Hart Side
321848,499687,Harter Fell Eskdale
345965,509329,Harter Fell Mardale
338481,512095,Hartsop Above How
341154,511815,Hartsop Dodd
314459,510707,Haycock
319367,513195,Haystacks
332653,509324,Helm Crag
334168,515148,Helvellyn
313191,518106,Hen Comb
335586,508259,Heron Pike
318017,514033,High Crag
339326,510715,High Hartsop Dodd
331887,535013,High Pike Caldbeck
337408,508829,High Pike Scandale
328074,509522,High Raise Langdale
344822,513465,High Raise Mardale
330865,522019,High Rigg
328712,518039,High Seat
323398,516221,High Spy
317027,514843,High Stile
344090,511030,High Street
328867,516516,High Tove
321563,516496,Hindscarth
331507,500610,Holm Fell
318543,522174,Hopegill Head
343652,507724,Ill Bell
316869,504921,Illgill Head
346548,507772,Kentmere Pike
344715,512620,Kidsty Pike
319496,510498,Kirk Fell
329597,532997,Knott
343700,512700,The Knott
319747,518881,Knott Rigg
309150,511950,Lank Rigg
327814,524687,Latrigg
317959,528583,Ling Fell
320923,508192,Lingmell
330280,504600,Lingmoor Fell
338736,510035,Little Hart Crag
326676,527793,Skiddaw Little Man
342316,524023,Little Mell Fell
345693,518114,Loadpot Hill
