formOfNode,longitude,latitude
source,-3.2785094149541028,53.311190688592184
source,-3.270802381894773,53.29773791510481
source,-3.2672466807542717,53.26249061522496
source,-3.2672581665458984,53.29316464151133
junction,-3.262035873078537,53.301129206406166
junction,-3.259669643733412,53.31372192040433
source,-3.2589020256705528,53.3130492654274
outlet,-3.236658285306403,53.304404796671314
source,-3.227837030097928,53.2961759060093
outlet,-3.2212004932605405,53.30027701549044
source,-3.2150663627861347,53.2958440453473
source,-3.2021251965723545,53.26036471577082
source,-3.1956044084147455,53.2546085431873
source,-3.3558741285772933,53.34480474165946
source,-3.3493526822473356,53.342084070310435
source,-3.341708242998057,53.245070618435186
source,-3.3365743229701676,53.27092870394907
source,-3.33368784868418,53.322811753873715
junction,-3.319213890300078,53.341740488594446
junction,-3.319150784596607,53.34173983802132
source,-3.3152840419287846,53.336668324837945
junction,-3.3140087304000243,53.34176988861274
source,-3.3044753677837027,53.33487902759898
source,-3.30018329073686,53.24655675918895
junction,-3.295825457917364,53.32325689278692
source,-3.2907159876347616,53.31513092443918
source,-3.28170928360011,53.32305614018805
source,-3.184426388179568,53.27829136367208
source,-3.1648402017814727,53.26439418636286
outlet,-3.1468022268020706,53.256705808253564
source,-3.0764926855947254,53.25072876276867
source,-3.277205164246539,53.22613833220867
junction,-3.2772312914840263,53.22626624172576
junction,-3.2889186668573,53.229819504118964
junction,-3.2913226931159887,53.23025769115735
junction,-3.2844430939285227,53.232718027948195
junction,-3.3044613090586137,53.23290931803
source,-3.282085290979132,53.233487835770354
junction,-3.323446907565027,53.235792350574755
junction,-3.3340731868866733,53.23604737305474
junction,-3.333935282054029,53.23623823562146
source,-3.3337523457297316,53.23633979699675
source,-3.3170952618054566,53.2436061651076
junction,-3.072922596154237,53.23649485087391
junction,-3.071738702539629,53.236701649720665
source,-3.0708480873436126,53.2362329563862
source,-3.067361560020321,53.23335567475612
source,-3.0673814254015515,53.251114185546875
source,-3.065334373781222,53.23513660696733
junction,-3.0653397760938867,53.235661800321694
outlet,-3.063259091488043,53.25140533782538
source,-3.0577510651777993,53.23082864656933
outlet,-3.0567295942962005,53.23161698725674
source,-3.0561447317161923,53.223955331267796
junction,-3.0559485431359295,53.23199148136069
junction,-3.0522940078827583,53.24213822550592
source,-3.050471448350973,53.24744500012928
source,-3.0421860967045418,53.23233791365536
junction,-3.0422848439964865,53.24224128766613
source,-3.0412321132996047,53.242270985586764
source,-3.0308336043271566,53.23481862602874
junction,-3.019907669178992,53.22416980586388
junction,-3.010396807656235,53.21752330285088
junction,-3.0103073573061754,53.23556433704273
source,-3.004363113041385,53.23848204882362
junction,-2.9977947148382333,53.23548126204127
source,-2.990559913062613,53.23174521702619
source,-2.9786959729298363,53.22564808172464
junction,-2.973864295197422,53.22301527404314
junction,-2.971650951074135,53.221738361376985
junction,-3.3564861349186668,53.187673086383356
source,-3.279642649463379,53.1925252407165
junction,-3.359934823533097,53.19205978253111
junction,-3.3604635725322565,53.19287521259122
source,-3.3589761995588345,53.19390307050512
junction,-3.3611881883292827,53.194259330562915
source,-3.3418658986995218,53.194534670210324
junction,-3.362347371858769,53.196897735091156
source,-3.348866924082527,53.199475547446745
junction,-3.3666177188169395,53.20145921431368
source,-3.3208112594351684,53.20544426303515
source,-3.3559199019442074,53.209286778447144
source,-3.301561396614927,53.210073762073044
junction,-3.3301559877383435,53.210335139766556
source,-3.300493186207848,53.21118286573604
junction,-3.3004800105206087,53.21127685990807
source,-3.327662844987588,53.21194582608583
junction,-3.3531500317539993,53.21847151876317
junction,-3.353719056121096,53.21861518003076
source,-3.3487912445958834,53.22135165815275
source,-3.2906970423266717,53.223354268663165
junction,-3.2912189440577504,53.22458017114971
junction,-3.1325438929779907,53.16983229618805
source,-3.130476193735403,53.226424566870094
source,-3.1242486899497894,53.18928705275624
junction,-3.1227588058708204,53.237942082941736
source,-3.1127001116233664,53.19891683508814
junction,-3.111370110310946,53.200389838776026
outlet,-3.105207785370809,53.23240496908417
source,-3.1050396721646236,53.23253804142362
source,-3.0946762067759828,53.177311203161906
source,-3.0925568851407124,53.2097874501254
junction,-3.083109443856392,53.199511654337215
source,-3.077262489391832,53.23969371569288
source,-3.0119410705335263,53.17002503647313
junction,-3.0044936932582273,53.17285301575826
source,-2.9510196231805055,53.17736032426749
source,-2.957158970786992,53.18244669446891
source,-3.0518566412301404,53.18768475885079
source,-2.954095619132169,53.18927944917495
source,-2.998731190047389,53.19258861430911
junction,-2.998511713090412,53.1927023706234
junction,-3.000123034510224,53.193829408809044
source,-3.002642445452108,53.19496981979051
source,-3.016315617170021,53.20264403442221
junction,-2.9764670780530653,53.20756409034611
source,-2.9977218198223636,53.21387631123337
source,-2.982855547897824,53.21634777366564
source,-2.942387776679667,53.16984930301782
source,-2.942309033994816,53.175908226367916
junction,-2.9369084856798326,53.1767010775962
junction,-2.933525561889918,53.17714923847139
source,-2.9316212839086893,53.18033725740863
junction,-2.9316008565519827,53.18042344407356
junction,-2.930298787038501,53.17060794394096
junction,-3.2365597991917667,53.17390122083325
source,-3.23303082153905,53.18620098493913
outlet,-3.2307527881806872,53.19001765020499
source,-3.223918162512275,53.170184228676064
junction,-3.2183424223656356,53.17682888912829
junction,-3.215835412483973,53.1719234276241
source,-3.196201683775881,53.20745170163958
junction,-3.1931501523360284,53.19933071158818
junction,-3.1870489558025183,53.18485955851282
source,-3.166990827759617,53.23304215308384
junction,-3.1643873802483857,53.234382850596226
source,-3.1537418256672396,53.21077530250068
source,-3.15155610050602,53.19759538666374
source,-3.1505829878296665,53.18929266961532
junction,-3.149357482722386,53.23235128201162
source,-3.146302578952648,53.16615630305661
junction,-3.1427725460131777,53.163845433271945
source,-3.1430065983216298,53.22190447862116
source,-3.1399526937019626,53.17306637853948
junction,-3.2662372014925274,53.167604859748
junction,-3.2678868578755784,53.22505457142567
source,-3.26621479008237,53.16965821545505
junction,-3.2656870671957283,53.168806764530764
source,-3.2655273167979626,53.16737912803352
junction,-3.265256635588319,53.168952923695336
source,-3.264548288859797,53.175535200959224
source,-3.256733571391785,53.19236723738667
junction,-3.2549282282633145,53.17133233762537
source,-3.247539158899296,53.16768715178502
source,-3.2471733856171405,53.17424711713699
junction,-3.245508914553873,53.173276771110196
source,-3.2453226633349095,53.19954273783608
source,-3.241327162164876,53.16767305183974
junction,-3.2372995759904164,53.172422317111334
junction,-3.354724147698203,53.16110422678454
source,-3.361410322600137,53.161353571516386
junction,-3.3580358556473193,53.16170629353801
junction,-3.359512940278381,53.162890272284024
source,-3.3564041339540256,53.16309095577907
junction,-3.356377823708513,53.163096199778494
source,-3.3643815627333358,53.1635776680866
junction,-3.3637378016234094,53.16365435281368
junction,-3.3638703577694757,53.16376367672273
source,-3.356254659571282,53.16518607150523
junction,-3.356579731663719,53.16533842833585
source,-3.269089376122206,53.16677406925504
source,-3.3454716944021397,53.167237659228086
junction,-3.350359877787599,53.16884927030042
junction,-3.34868451366061,53.16893522958463
junction,-3.344256562560741,53.17184650733706
junction,-3.3638925509087083,53.172797364664
junction,-3.3638799641746986,53.17424933176765
junction,-3.3635216378847983,53.17474498717678
junction,-3.36721964337082,53.17787295603924
source,-3.355707360243297,53.17816880575522
source,-3.281149658289121,53.17981566821802
source,-3.356774065381591,53.18165702800735
junction,-3.361783386475451,53.182340957731434
junction,-3.354897145674813,53.18419880777697
source,-3.3017347629735436,53.18799739389555
source,-3.3006821645586095,53.13689511466831
junction,-3.3169139191459296,53.13672573444684
junction,-3.3171116469066297,53.13711028034702
junction,-3.3488927469455176,53.14028787311655
junction,-3.3229431340447695,53.14297409188353
source,-3.3534532265746897,53.14830261121755
source,-3.2838313867057414,53.154499922966494
source,-3.330976731945405,53.1578009246971
junction,-3.336945994629552,53.15794952916664
junction,-3.3352793190974364,53.158678320937135
source,-3.3485458970998057,53.15937742454801
source,-3.359162376247239,53.159838879479956
source,-3.2842350596437995,53.1614997829611
source,-3.10972090045729,53.12869147934674
source,-3.1005568925392724,53.129869226130374
junction,-3.0560051578254344,53.132328404254906
source,-3.061274836498967,53.135561408644264
junction,-3.0807279522341458,53.13639985655037
junction,-3.1311864412758594,53.13875528747931
source,-3.142014446201154,53.14063237161284
source,-3.108319641287031,53.14416149501902
junction,-3.0777339035150475,53.148321045745355
source,-3.095021590848867,53.148250135638484
junction,-3.099983723150846,53.149514508627135
source,-3.068346930317508,53.149838735056875
junction,-3.112056096736924,53.14971797783365
junction,-3.080630671063942,53.15014444412276
source,-3.1130667681871325,53.15334241217238
junction,-3.11106810638956,53.153804437381105
junction,-3.1127861841625024,53.15395361765644
source,-3.0794414782297372,53.15428791932631
source,-3.1141403407611867,53.15452661364114
junction,-3.1227591880006265,53.15698093494519
junction,-3.122605529707478,53.1576489484388
source,-3.147039002159341,53.16239891558852
junction,-3.1329308485137424,53.16333440018006
junction,-3.214805721212064,53.10562976572692
junction,-3.2167807375406428,53.10640013078337
source,-3.2211381262882735,53.10705219015013
source,-3.251058663207519,53.107277368566955
source,-3.1569395828602027,53.11242003530302
source,-3.1504753456266394,53.11953261963764
source,-3.2271104823923467,53.11923931184087
source,-3.1529946037683745,53.12080911058294
junction,-3.2162405756799286,53.12174390189207
junction,-3.21438852968424,53.12759657350402
source,-3.229442072704531,53.127881270272255
source,-3.248053945779662,53.143660667280486
junction,-3.2082342647026167,53.14485228038664
source,-3.148704097629692,53.14914304630343
source,-3.2065349315785294,53.14866694849303
junction,-3.2030804761834704,53.15217787246002
source,-3.2386409689857962,53.153895924392515
source,-3.229234635836113,53.154428051748006
outlet,-3.229344369239023,53.15449487948199
junction,-3.2082291542717765,53.15983107422501
source,-3.2648145308479473,53.1593336101609
source,-3.351947434622597,53.08542779640039
junction,-3.3051392821369734,53.0874916581794
source,-3.2726557126166202,53.09814396361085
source,-3.355574645696765,53.0983392794163
junction,-3.3321178615251705,53.10066381389807
junction,-3.2828101524991666,53.10620686673315
junction,-3.2853988021239005,53.10699402410964
junction,-3.3285695352287434,53.10946176631578
junction,-3.315711115560606,53.1121475235389
source,-3.3213075668841845,53.11886551915831
junction,-3.2937171508274083,53.122176995383036
source,-3.346936864901652,53.12404341360899
